location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1953,1953-04-27,117,-1.23,0.2,90.0,251.6
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1954,1954-04-18,108,-1.31,5.7,88.0,213.5
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1955,1955-04-15,105,-1.32,0.0,89.0,284.4
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1956,1956-04-21,112,-1.44,0.1,90.0,371.0
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1957,1957-04-27,117,-1.37,0.0,90.0,262.7
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1958,1958-04-23,113,-0.96,3.3,90.0,316.2
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1959,1959-04-16,106,-0.34,9.8,90.0,289.8
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1960,1960-04-24,115,-0.77,1.8,89.0,295.4
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1961,1961-04-21,111,-1.54,0.0,90.0,266.1
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1962,1962-04-22,112,-1.11,0.0,90.0,279.9
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1963,1963-04-17,107,-2.0,0.0,90.0,238.3
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1964,1964-04-17,108,-1.15,1.7,90.0,297.8
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1965,1965-05-02,122,-1.5,0.0,90.0,286.0
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1966,1966-04-22,112,-0.81,4.9,90.0,379.5
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1967,1967-04-24,114,-1.4,0.8,90.0,269.9
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1968,1968-04-21,112,-1.21,0.6,90.0,236.6
Japan/Yamagata,38.2555555555556,140.346111111111,152.5,1969,1969-04-24,114,-1.7,1.0,82.0,344.1
