location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Yokohama,35.4397222222222,139.6525,39.1,1953,1953-03-31,90,6.0,167.5,68.0,190.8
Japan/Yokohama,35.4397222222222,139.6525,39.1,1954,1954-04-01,91,6.15,195.6,51.0,218.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1955,1955-04-04,94,6.1,160.2,61.0,263.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1956,1956-04-09,100,5.49,146.2,61.0,307.0
Japan/Yokohama,35.4397222222222,139.6525,39.1,1957,1957-04-10,100,5.86,134.0,69.0,178.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1958,1958-04-05,95,6.38,178.0,45.0,208.5
Japan/Yokohama,35.4397222222222,139.6525,39.1,1959,1959-04-03,93,6.67,204.8,41.0,324.3
Japan/Yokohama,35.4397222222222,139.6525,39.1,1960,1960-04-03,94,6.81,207.2,56.0,138.4
Japan/Yokohama,35.4397222222222,139.6525,39.1,1961,1961-04-07,97,5.28,105.6,66.0,189.8
Japan/Yokohama,35.4397222222222,139.6525,39.1,1962,1962-04-09,99,5.96,133.5,62.0,142.8
Japan/Yokohama,35.4397222222222,139.6525,39.1,1963,1963-04-07,97,4.56,79.3,72.0,140.5
Japan/Yokohama,35.4397222222222,139.6525,39.1,1964,1964-04-06,97,5.43,100.0,61.0,322.4
Japan/Yokohama,35.4397222222222,139.6525,39.1,1965,1965-04-10,100,5.55,103.0,60.0,134.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,1966,1966-04-05,95,6.95,224.9,53.0,325.5
Japan/Yokohama,35.4397222222222,139.6525,39.1,1967,1967-04-04,94,5.2,141.1,70.0,231.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1968,1968-04-01,92,5.35,147.0,73.0,239.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,1969,1969-04-11,101,5.79,151.1,48.0,368.0
Japan/Yokohama,35.4397222222222,139.6525,39.1,1970,1970-04-13,103,4.81,84.0,66.0,156.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,1971,1971-04-05,95,5.53,128.1,67.0,178.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,1972,1972-03-31,91,6.98,217.6,47.0,405.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,1973,1973-04-06,96,6.7,176.2,48.0,217.3
Japan/Yokohama,35.4397222222222,139.6525,39.1,1974,1974-04-06,96,4.89,92.7,74.0,268.8
Japan/Yokohama,35.4397222222222,139.6525,39.1,1975,1975-04-07,97,5.57,113.5,68.0,248.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1976,1976-04-06,97,6.75,204.0,61.0,305.8
Japan/Yokohama,35.4397222222222,139.6525,39.1,1977,1977-04-03,93,5.07,156.3,64.0,250.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,1978,1978-04-14,104,5.22,111.6,58.0,190.3
Japan/Yokohama,35.4397222222222,139.6525,39.1,1979,1979-04-04,94,7.38,241.5,43.0,284.0
Japan/Yokohama,35.4397222222222,139.6525,39.1,1980,1980-04-09,100,4.96,94.9,60.0,303.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1981,1981-04-07,97,4.94,113.4,75.0,180.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,1982,1982-03-31,90,5.76,143.4,73.0,230.5
Japan/Yokohama,35.4397222222222,139.6525,39.1,1983,1983-04-08,98,5.84,125.7,58.0,244.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1984,1984-04-15,106,2.84,32.4,78.0,215.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,1985,1985-04-08,98,5.2,103.9,71.0,373.8
Japan/Yokohama,35.4397222222222,139.6525,39.1,1986,1986-04-09,99,4.4,77.9,74.0,280.9
Japan/Yokohama,35.4397222222222,139.6525,39.1,1987,1987-03-31,90,6.08,171.5,56.0,222.4
Japan/Yokohama,35.4397222222222,139.6525,39.1,1988,1988-04-09,100,6.43,180.0,53.0,232.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,1989,1989-04-01,91,7.61,247.5,46.0,373.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1990,1990-03-23,82,6.54,211.2,53.0,266.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,1991,1991-04-06,96,6.33,161.2,60.0,278.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,1992,1992-03-31,91,6.63,182.8,54.0,305.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,1993,1993-04-02,92,6.57,160.0,52.0,323.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,1994,1994-04-06,96,5.07,90.8,66.0,323.0
Japan/Yokohama,35.4397222222222,139.6525,39.1,1995,1995-04-07,97,6.01,134.0,60.0,240.8
Japan/Yokohama,35.4397222222222,139.6525,39.1,1996,1996-04-04,95,5.71,152.1,64.0,214.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,1997,1997-03-31,90,6.43,172.3,61.0,156.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,1998,1998-04-04,94,6.06,159.5,61.0,407.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,1999,1999-04-02,92,6.58,180.5,52.0,246.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,2000,2000-04-07,98,6.53,180.9,53.0,215.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,2001,2001-03-29,88,5.89,160.1,57.0,325.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,2002,2002-03-22,81,7.84,278.2,52.0,269.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,2003,2003-04-01,91,5.98,136.5,69.0,365.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,2004,2004-03-30,90,7.2,220.1,48.0,209.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,2005,2005-04-07,97,6.43,157.7,56.0,278.5
Japan/Yokohama,35.4397222222222,139.6525,39.1,2006,2006-03-28,87,6.5,185.7,70.0,294.1
Japan/Yokohama,35.4397222222222,139.6525,39.1,2007,2007-03-30,89,7.94,267.2,34.0,191.7
Japan/Yokohama,35.4397222222222,139.6525,39.1,2008,2008-03-29,89,6.59,190.0,55.0,209.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,2009,2009-04-04,94,7.44,227.3,45.0,312.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,2010,2010-04-02,92,7.09,215.2,54.0,294.3
Japan/Yokohama,35.4397222222222,139.6525,39.1,2011,2011-04-08,98,5.94,130.7,56.0,198.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,2012,2012-04-09,100,5.84,135.2,73.0,355.6
Japan/Yokohama,35.4397222222222,139.6525,39.1,2013,2013-03-22,81,6.93,223.8,66.0,188.2
Japan/Yokohama,35.4397222222222,139.6525,39.1,2014,2014-03-31,90,6.4,193.2,59.0,354.4
Japan/Yokohama,35.4397222222222,139.6525,39.1,2015,2015-03-31,90,6.95,203.0,65.0,290.2
