location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Adelboden,46.492022,7.561067,1350,1965,1965-05-24,144,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1966,1966-05-13,133,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1967,1967-05-12,132,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1968,1968-05-04,125,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1969,1969-05-08,128,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1970,1970-05-30,150,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1971,1971-05-07,127,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1972,1972-05-09,130,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1973,1973-05-22,142,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1974,1974-05-10,130,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1975,1975-05-14,134,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1976,1976-05-05,126,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1977,1977-05-07,127,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1978,1978-05-18,138,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1979,1979-05-16,136,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1980,1980-05-13,134,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1981,1981-05-09,129,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1982,1982-05-13,133,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1983,1983-05-08,128,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1984,1984-05-25,146,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1985,1985-05-18,138,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1986,1986-05-05,125,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1987,1987-05-12,132,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1988,1988-05-09,130,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1989,1989-05-08,128,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1990,1990-04-29,119,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1991,1991-05-30,150,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1992,1992-05-12,133,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1993,1993-05-09,129,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1994,1994-05-05,125,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1995,1995-05-07,127,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1996,1996-05-04,125,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1997,1997-04-29,119,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1998,1998-05-11,131,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,1999,1999-05-07,127,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2000,2000-05-05,126,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2001,2001-05-13,133,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2003,2003-05-04,124,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2004,2004-05-16,137,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2005,2005-05-09,129,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2006,2006-05-20,140,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2007,2007-04-21,111,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2008,2008-05-10,131,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2009,2009-05-11,131,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2011,2011-04-16,106,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2012,2012-05-06,127,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2013,2013-05-14,134,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2015,2015-05-07,127,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2016,2016-05-11,132,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2017,2017-05-08,128,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2018,2018-04-29,119,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2019,2019-05-01,121,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2020,2020-04-23,114,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2021,2021-05-20,140,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2022,2022-05-01,121,,,,
Switzerland/Adelboden,46.492022,7.561067,1350,2023,2023-05-05,125,,,,
