location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Alchenflüh ,47.079619,7.5848,513,2013,2013-04-27,117,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2014,2014-04-09,99,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2015,2015-04-19,109,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2016,2016-04-19,110,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2017,2017-04-06,96,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2018,2018-04-21,111,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2019,2019-04-15,105,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2020,2020-04-12,103,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2021,2021-04-20,110,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2022,2022-04-15,105,,,,
Switzerland/Alchenflüh ,47.079619,7.5848,513,2023,2023-04-20,110,,,,
