location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Altdorf,46.872614,8.658569,470,1976,1976-05-12,133,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1977,1977-05-02,122,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1978,1978-04-20,110,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1979,1979-04-20,110,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1980,1980-05-10,131,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1981,1981-04-13,103,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1982,1982-04-22,112,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1984,1984-05-15,136,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1985,1985-05-10,130,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1987,1987-05-25,145,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1988,1988-05-21,142,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1989,1989-05-10,130,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1990,1990-04-16,106,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1991,1991-04-13,103,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1992,1992-05-25,146,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1994,1994-05-25,145,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1995,1995-05-23,143,,,,
Switzerland/Altdorf,46.872614,8.658569,470,1999,1999-04-10,100,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2000,2000-04-15,106,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2001,2001-04-02,92,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2002,2002-03-24,83,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2003,2003-04-10,100,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2004,2004-04-06,97,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2005,2005-04-07,97,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2006,2006-04-18,108,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2007,2007-04-12,102,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2008,2008-04-10,101,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2009,2009-04-10,100,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2010,2010-04-07,97,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2011,2011-04-03,93,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2012,2012-04-04,95,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2013,2013-04-18,108,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2014,2014-03-31,90,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2015,2015-04-15,105,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2016,2016-04-04,95,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2017,2017-03-29,88,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2018,2018-04-10,100,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2019,2019-04-03,93,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2020,2020-03-31,91,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2021,2021-03-31,90,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2022,2022-03-29,88,,,,
Switzerland/Altdorf,46.872614,8.658569,470,2023,2023-04-07,97,,,,
