location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Andeer,46.600961,9.422614,985,1953,1953-05-01,121,,,,
Switzerland/Andeer,46.600961,9.422614,985,1954,1954-05-10,130,,,,
Switzerland/Andeer,46.600961,9.422614,985,1955,1955-05-06,126,,,,
Switzerland/Andeer,46.600961,9.422614,985,1956,1956-05-14,135,,,,
Switzerland/Andeer,46.600961,9.422614,985,1957,1957-04-23,113,,,,
Switzerland/Andeer,46.600961,9.422614,985,1970,1970-05-25,145,,,,
Switzerland/Andeer,46.600961,9.422614,985,1971,1971-05-08,128,,,,
Switzerland/Andeer,46.600961,9.422614,985,1972,1972-05-03,124,,,,
Switzerland/Andeer,46.600961,9.422614,985,1973,1973-05-16,136,,,,
Switzerland/Andeer,46.600961,9.422614,985,1974,1974-04-28,118,,,,
Switzerland/Andeer,46.600961,9.422614,985,1975,1975-05-13,133,,,,
Switzerland/Andeer,46.600961,9.422614,985,1976,1976-05-05,126,,,,
Switzerland/Andeer,46.600961,9.422614,985,1977,1977-04-29,119,,,,
Switzerland/Andeer,46.600961,9.422614,985,1978,1978-05-12,132,,,,
Switzerland/Andeer,46.600961,9.422614,985,1979,1979-05-19,139,,,,
Switzerland/Andeer,46.600961,9.422614,985,1980,1980-05-13,134,,,,
Switzerland/Andeer,46.600961,9.422614,985,1981,1981-05-07,127,,,,
Switzerland/Andeer,46.600961,9.422614,985,1982,1982-05-20,140,,,,
Switzerland/Andeer,46.600961,9.422614,985,1983,1983-05-06,126,,,,
Switzerland/Andeer,46.600961,9.422614,985,1984,1984-05-19,140,,,,
Switzerland/Andeer,46.600961,9.422614,985,1985,1985-05-17,137,,,,
Switzerland/Andeer,46.600961,9.422614,985,1986,1986-05-13,133,,,,
Switzerland/Andeer,46.600961,9.422614,985,1987,1987-05-02,122,,,,
Switzerland/Andeer,46.600961,9.422614,985,1988,1988-05-07,128,,,,
Switzerland/Andeer,46.600961,9.422614,985,1989,1989-05-08,128,,,,
Switzerland/Andeer,46.600961,9.422614,985,1990,1990-05-03,123,,,,
Switzerland/Andeer,46.600961,9.422614,985,1991,1991-05-22,142,,,,
Switzerland/Andeer,46.600961,9.422614,985,1992,1992-05-10,131,,,,
Switzerland/Andeer,46.600961,9.422614,985,1993,1993-04-30,120,,,,
Switzerland/Andeer,46.600961,9.422614,985,1994,1994-04-30,120,,,,
Switzerland/Andeer,46.600961,9.422614,985,1995,1995-05-07,127,,,,
Switzerland/Andeer,46.600961,9.422614,985,1996,1996-05-06,127,,,,
Switzerland/Andeer,46.600961,9.422614,985,1997,1997-05-04,124,,,,
Switzerland/Andeer,46.600961,9.422614,985,1998,1998-05-01,121,,,,
Switzerland/Andeer,46.600961,9.422614,985,1999,1999-05-07,127,,,,
Switzerland/Andeer,46.600961,9.422614,985,2000,2000-05-01,122,,,,
Switzerland/Andeer,46.600961,9.422614,985,2001,2001-05-01,121,,,,
Switzerland/Andeer,46.600961,9.422614,985,2002,2002-05-08,128,,,,
Switzerland/Andeer,46.600961,9.422614,985,2003,2003-05-01,121,,,,
Switzerland/Andeer,46.600961,9.422614,985,2004,2004-05-01,122,,,,
Switzerland/Andeer,46.600961,9.422614,985,2005,2005-05-01,121,,,,
Switzerland/Andeer,46.600961,9.422614,985,2006,2006-05-05,125,,,,
Switzerland/Andeer,46.600961,9.422614,985,2007,2007-04-23,113,,,,
Switzerland/Andeer,46.600961,9.422614,985,2008,2008-05-06,127,,,,
Switzerland/Andeer,46.600961,9.422614,985,2009,2009-05-02,122,,,,
Switzerland/Andeer,46.600961,9.422614,985,2010,2010-05-02,122,,,,
Switzerland/Andeer,46.600961,9.422614,985,2011,2011-04-21,111,,,,
Switzerland/Andeer,46.600961,9.422614,985,2012,2012-05-03,124,,,,
Switzerland/Andeer,46.600961,9.422614,985,2013,2013-05-03,123,,,,
Switzerland/Andeer,46.600961,9.422614,985,2014,2014-04-25,115,,,,
Switzerland/Andeer,46.600961,9.422614,985,2015,2015-04-30,120,,,,
Switzerland/Andeer,46.600961,9.422614,985,2016,2016-05-02,123,,,,
Switzerland/Andeer,46.600961,9.422614,985,2017,2017-04-30,120,,,,
Switzerland/Andeer,46.600961,9.422614,985,2018,2018-04-23,113,,,,
Switzerland/Andeer,46.600961,9.422614,985,2019,2019-05-04,124,,,,
Switzerland/Andeer,46.600961,9.422614,985,2020,2020-04-20,111,,,,
Switzerland/Andeer,46.600961,9.422614,985,2021,2021-05-08,128,,,,
Switzerland/Andeer,46.600961,9.422614,985,2022,2022-04-28,118,,,,
