location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Appenzell,47.331994,9.415403,775,1970,1970-05-15,135,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1971,1971-05-05,125,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1972,1972-04-25,116,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1973,1973-05-16,136,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1974,1974-04-15,105,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1975,1975-05-12,132,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1976,1976-05-06,127,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1977,1977-05-03,123,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1978,1978-05-08,128,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1979,1979-05-16,136,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1980,1980-05-15,136,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1981,1981-04-15,105,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1982,1982-05-15,135,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1983,1983-04-27,117,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1984,1984-05-18,139,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1985,1985-05-12,132,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1986,1986-05-10,130,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1987,1987-05-02,122,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1988,1988-05-03,124,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1989,1989-04-13,103,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1990,1990-04-25,115,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1991,1991-04-28,118,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1992,1992-05-06,127,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1993,1993-04-28,118,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1994,1994-04-24,114,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1995,1995-04-25,115,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1996,1996-05-09,130,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1997,1997-04-20,110,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1998,1998-05-05,125,,,,
Switzerland/Appenzell,47.331994,9.415403,775,1999,1999-05-02,122,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2000,2000-05-02,123,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2001,2001-04-30,120,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2002,2002-04-10,100,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2003,2003-04-18,108,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2004,2004-04-18,109,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2005,2005-04-30,120,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2006,2006-05-03,123,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2007,2007-04-14,104,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2008,2008-05-07,128,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2009,2009-04-29,119,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2010,2010-05-02,122,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2011,2011-04-10,100,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2012,2012-04-13,104,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2013,2013-05-02,122,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2014,2014-04-18,108,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2015,2015-04-29,119,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2016,2016-05-07,128,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2017,2017-04-11,101,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2018,2018-04-23,113,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2019,2019-04-21,111,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2020,2020-04-13,104,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2021,2021-04-29,119,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2022,2022-04-19,109,,,,
Switzerland/Appenzell,47.331994,9.415403,775,2023,2023-04-29,119,,,,
