location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Aurigeno,46.236078,8.725292,350,1956,1956-04-13,104,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1958,1958-04-25,115,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1959,1959-04-04,94,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1961,1961-03-28,87,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1963,1963-04-02,92,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1964,1964-03-21,81,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1965,1965-03-18,77,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1966,1966-03-24,83,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1967,1967-03-21,80,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1968,1968-04-02,93,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1969,1969-04-09,99,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1970,1970-04-29,119,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1971,1971-05-05,125,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1972,1972-04-25,116,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1973,1973-05-02,122,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1974,1974-04-25,115,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1975,1975-05-03,123,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1976,1976-04-28,119,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1977,1977-04-11,101,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1978,1978-04-15,105,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1979,1979-04-15,105,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1980,1980-04-19,110,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1981,1981-03-22,81,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1982,1982-05-11,131,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1983,1983-04-20,110,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1984,1984-04-23,114,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1985,1985-05-08,128,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1986,1986-05-19,139,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1987,1987-04-24,114,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1988,1988-04-18,109,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1989,1989-03-29,88,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1990,1990-03-18,77,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1991,1991-03-30,89,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1992,1992-03-20,80,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1993,1993-03-29,88,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1994,1994-03-26,85,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1995,1995-03-27,86,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1996,1996-04-15,106,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1997,1997-03-16,75,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1998,1998-03-18,77,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,1999,1999-04-01,91,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2000,2000-03-30,90,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2001,2001-03-24,83,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2009,2009-04-07,97,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2010,2010-04-10,100,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2011,2011-04-01,91,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2012,2012-03-29,89,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2013,2013-04-17,107,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2014,2014-04-07,97,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2015,2015-04-10,100,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2016,2016-04-07,98,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2017,2017-04-06,96,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2018,2018-04-15,105,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2021,2021-04-17,107,,,,
Switzerland/Aurigeno,46.236078,8.725292,350,2022,2022-04-05,95,,,,
