location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Azmoos,47.076869,9.479753,480,1980,1980-05-03,124,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1981,1981-04-07,97,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1982,1982-04-23,113,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1983,1983-04-17,107,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1984,1984-04-28,119,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1985,1985-04-18,108,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1986,1986-04-30,120,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1987,1987-04-23,113,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1988,1988-04-21,112,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1989,1989-03-31,90,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1990,1990-03-24,83,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1991,1991-04-10,100,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1992,1992-04-21,112,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1993,1993-04-22,112,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1994,1994-03-27,86,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1995,1995-04-22,112,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1996,1996-04-23,114,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1997,1997-04-01,91,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1998,1998-04-08,98,,,,
Switzerland/Azmoos,47.076869,9.479753,480,1999,1999-04-14,104,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2000,2000-04-19,110,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2001,2001-04-25,115,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2002,2002-04-03,93,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2003,2003-04-16,106,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2004,2004-04-16,107,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2005,2005-04-15,105,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2006,2006-04-24,114,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2007,2007-04-13,103,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2008,2008-04-18,109,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2009,2009-04-14,104,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2010,2010-04-13,103,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2011,2011-04-07,97,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2012,2012-04-10,101,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2013,2013-04-22,112,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2014,2014-04-04,94,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2015,2015-04-16,106,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2016,2016-04-06,97,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2017,2017-04-02,92,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2018,2018-04-14,104,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2019,2019-04-03,93,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2020,2020-04-07,98,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2021,2021-04-06,96,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2022,2022-03-29,88,,,,
Switzerland/Azmoos,47.076869,9.479753,480,2023,2023-04-18,108,,,,
