location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Basel-Binningen,47.548594,7.582372,315,1966,1966-04-12,102,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1967,1967-04-11,101,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1968,1968-04-16,107,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1969,1969-04-22,112,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1970,1970-04-23,113,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1971,1971-04-20,110,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1972,1972-04-04,95,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1973,1973-04-27,117,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1974,1974-04-03,93,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1975,1975-04-18,108,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1976,1976-04-18,109,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1977,1977-03-22,81,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1978,1978-04-13,103,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1979,1979-04-15,105,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1980,1980-04-18,109,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1981,1981-04-14,104,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1982,1982-04-20,110,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1983,1983-04-21,111,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1985,1985-04-18,108,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1988,1988-04-18,109,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1989,1989-03-27,86,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1990,1990-03-16,75,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1991,1991-04-05,95,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1992,1992-04-10,101,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1993,1993-04-01,91,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1994,1994-03-20,79,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1995,1995-03-28,87,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1996,1996-04-16,107,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1997,1997-03-17,76,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1998,1998-03-30,89,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,1999,1999-04-05,95,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2000,2000-03-28,88,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2001,2001-04-02,92,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2003,2003-03-31,90,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2004,2004-04-05,96,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2005,2005-04-04,94,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2006,2006-04-20,110,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2008,2008-03-31,91,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2010,2010-04-07,97,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2011,2011-03-30,89,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2012,2012-03-28,88,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2013,2013-04-19,109,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2015,2015-04-07,97,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2016,2016-04-03,94,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2017,2017-03-27,86,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2018,2018-04-12,102,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2020,2020-03-19,79,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2021,2021-03-27,86,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2022,2022-03-27,86,,,,
Switzerland/Basel-Binningen,47.548594,7.582372,315,2023,2023-03-30,89,,,,
