location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Bauma,47.364822,8.881672,640,1957,1957-04-28,118,1.43,71.3,89.0,261.6
Switzerland/Bauma,47.364822,8.881672,640,1958,1958-05-10,130,-0.79,4.7,90.0,396.3
Switzerland/Bauma,47.364822,8.881672,640,1959,1959-04-27,117,0.4,21.0,90.0,251.0
Switzerland/Bauma,47.364822,8.881672,640,1960,1960-05-09,130,0.75,26.6,90.0,249.0
Switzerland/Bauma,47.364822,8.881672,640,1961,1961-04-16,106,1.74,33.9,90.0,249.7
Switzerland/Bauma,47.364822,8.881672,640,1969,1969-05-11,131,-0.67,2.3,90.0,228.6
Switzerland/Bauma,47.364822,8.881672,640,1970,1970-05-20,140,-0.99,0.1,90.0,466.5
Switzerland/Bauma,47.364822,8.881672,640,1971,1971-05-07,127,-2.52,0.0,90.0,219.9
Switzerland/Bauma,47.364822,8.881672,640,1972,1972-05-03,124,2.16,39.1,90.0,111.6
Switzerland/Bauma,47.364822,8.881672,640,1973,1973-05-16,136,-0.98,1.4,90.0,234.6
Switzerland/Bauma,47.364822,8.881672,640,1974,1974-04-21,111,2.74,65.8,90.0,237.9
Switzerland/Bauma,47.364822,8.881672,640,1975,1975-05-13,133,1.71,4.3,88.0,243.7
Switzerland/Bauma,47.364822,8.881672,640,1976,1976-05-06,127,0.51,10.4,90.0,218.4
Switzerland/Bauma,47.364822,8.881672,640,1977,1977-05-04,124,2.11,55.3,90.0,337.0
Switzerland/Bauma,47.364822,8.881672,640,1978,1978-05-16,136,-0.27,11.1,90.0,383.3
Switzerland/Bauma,47.364822,8.881672,640,1979,1979-05-19,139,-0.32,15.6,90.0,308.7
Switzerland/Bauma,47.364822,8.881672,640,1980,1980-05-15,136,0.67,13.2,88.0,265.7
Switzerland/Bauma,47.364822,8.881672,640,1981,1981-05-08,128,-0.23,47.7,90.0,338.7
Switzerland/Bauma,47.364822,8.881672,640,1982,1982-05-17,137,0.33,3.8,90.0,293.2
Switzerland/Bauma,47.364822,8.881672,640,1983,1983-05-02,122,1.18,24.3,86.0,291.3
Switzerland/Bauma,47.364822,8.881672,640,1984,1984-05-18,139,-0.27,3.9,89.0,287.7
Switzerland/Bauma,47.364822,8.881672,640,1985,1985-05-14,134,-1.98,6.1,90.0,261.7
Switzerland/Bauma,47.364822,8.881672,640,1986,1986-05-12,132,-0.88,9.0,90.0,309.3
Switzerland/Bauma,47.364822,8.881672,640,1987,1987-05-08,128,-1.72,8.5,90.0,280.6
Switzerland/Bauma,47.364822,8.881672,640,1988,1988-05-06,127,1.48,8.2,87.0,497.2
Switzerland/Bauma,47.364822,8.881672,640,1989,1989-04-24,114,3.05,62.7,90.0,173.0
Switzerland/Bauma,47.364822,8.881672,640,1990,1990-04-22,112,3.53,89.2,82.0,290.4
Switzerland/Bauma,47.364822,8.881672,640,1991,1991-04-30,120,1.27,52.7,90.0,179.8
Switzerland/Bauma,47.364822,8.881672,640,1992,1992-05-01,122,1.49,17.9,90.0,283.8
Switzerland/Bauma,47.364822,8.881672,640,1994,1994-04-23,113,3.27,82.5,88.0,303.3
Switzerland/Bauma,47.364822,8.881672,640,1995,1995-05-01,121,1.58,13.5,87.0,428.4
Switzerland/Bauma,47.364822,8.881672,640,1996,1996-05-02,123,0.21,17.0,90.0,162.9
Switzerland/Bauma,47.364822,8.881672,640,1997,1997-04-11,101,2.59,51.1,89.0,186.2
Switzerland/Bauma,47.364822,8.881672,640,1998,1998-04-25,115,2.43,40.9,89.0,221.6
Switzerland/Bauma,47.364822,8.881672,640,1999,1999-04-27,117,1.03,24.6,90.0,410.0
Switzerland/Bauma,47.364822,8.881672,640,2000,2000-04-23,114,1.87,26.4,90.0,371.2
Switzerland/Bauma,47.364822,8.881672,640,2008,2008-04-23,114,2.18,27.5,89.0,254.0
Switzerland/Bauma,47.364822,8.881672,640,2009,2009-04-16,106,-0.32,0.6,90.0,293.3
Switzerland/Bauma,47.364822,8.881672,640,2010,2010-04-24,114,-0.32,34.6,90.0,189.8
Switzerland/Bauma,47.364822,8.881672,640,2011,2011-04-09,99,1.72,38.7,90.0,159.4
Switzerland/Bauma,47.364822,8.881672,640,2012,2012-04-18,109,0.24,36.7,89.0,239.4
Switzerland/Bauma,47.364822,8.881672,640,2013,2013-04-28,118,-0.41,6.0,89.0,271.2
Switzerland/Bauma,47.364822,8.881672,640,2014,2014-04-09,99,3.34,51.3,90.0,207.2
Switzerland/Bauma,47.364822,8.881672,640,2015,2015-04-20,110,1.31,31.2,88.0,288.5
Switzerland/Bauma,47.364822,8.881672,640,2016,2016-04-15,106,2.13,28.0,87.0,362.7
Switzerland/Bauma,47.364822,8.881672,640,2017,2017-04-04,94,1.22,71.4,88.0,261.5
Switzerland/Bauma,47.364822,8.881672,640,2018,2018-04-18,108,1.22,12.6,89.0,362.9
Switzerland/Bauma,47.364822,8.881672,640,2019,2019-04-16,106,2.06,34.2,85.0,268.3
Switzerland/Bauma,47.364822,8.881672,640,2020,2020-04-09,100,3.1,56.6,83.0,272.3
Switzerland/Bauma,47.364822,8.881672,640,2021,2021-04-20,110,1.68,41.8,87.0,369.9
Switzerland/Bauma,47.364822,8.881672,640,2022,2022-04-12,102,2.54,63.8,85.0,181.6
Switzerland/Bauma,47.364822,8.881672,640,2023,2023-04-19,109,2.9,68.0,84.0,263.9
