location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Bellelay,47.265314,7.165786,930,1990,1990-05-08,128,,,,
Switzerland/Bellelay,47.265314,7.165786,930,1995,1995-04-26,116,,,,
Switzerland/Bellelay,47.265314,7.165786,930,1996,1996-05-22,143,,,,
Switzerland/Bellelay,47.265314,7.165786,930,1997,1997-04-20,110,,,,
Switzerland/Bellelay,47.265314,7.165786,930,1999,1999-05-09,129,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2000,2000-04-27,118,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2002,2002-05-13,133,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2003,2003-05-03,123,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2004,2004-05-20,141,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2005,2005-05-19,139,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2007,2007-04-22,112,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2009,2009-05-03,123,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2010,2010-04-29,119,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2011,2011-04-24,114,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2012,2012-05-01,122,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2013,2013-05-18,138,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2014,2014-04-28,118,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2015,2015-05-05,125,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2016,2016-05-08,129,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2017,2017-04-16,106,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2018,2018-04-24,114,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2019,2019-04-25,115,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2020,2020-04-15,106,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2021,2021-05-03,123,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2022,2022-05-01,121,,,,
Switzerland/Bellelay,47.265314,7.165786,930,2023,2023-05-04,124,,,,
