location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Biel,47.151194,7.254139,490,1952,1952-04-16,107,0.23,25.8,90.0,352.6
Switzerland/Biel,47.151194,7.254139,490,1957,1957-04-10,100,2.88,111.1,88.0,308.3
Switzerland/Biel,47.151194,7.254139,490,1960,1960-04-15,106,1.98,57.0,87.0,303.7
Switzerland/Biel,47.151194,7.254139,490,1961,1961-04-04,94,3.08,72.6,85.0,249.1
Switzerland/Biel,47.151194,7.254139,490,1963,1963-05-03,123,-3.39,0.4,90.0,209.8
Switzerland/Biel,47.151194,7.254139,490,1965,1965-05-02,122,-0.48,21.3,90.0,302.8
Switzerland/Biel,47.151194,7.254139,490,1966,1966-05-01,121,1.59,30.4,85.0,348.6
Switzerland/Biel,47.151194,7.254139,490,1967,1967-04-21,111,2.04,51.6,88.0,302.0
Switzerland/Biel,47.151194,7.254139,490,1968,1968-04-20,111,0.86,42.1,89.0,359.1
Switzerland/Biel,47.151194,7.254139,490,1970,1970-05-11,131,-0.35,1.4,90.0,509.5
Switzerland/Biel,47.151194,7.254139,490,1971,1971-04-20,110,-0.95,0.7,89.0,208.0
Switzerland/Biel,47.151194,7.254139,490,1973,1973-05-06,126,-0.31,15.2,90.0,191.0
Switzerland/Biel,47.151194,7.254139,490,1974,1974-04-08,98,3.8,90.2,88.0,281.9
Switzerland/Biel,47.151194,7.254139,490,1978,1978-04-30,120,1.2,28.6,89.0,429.9
Switzerland/Biel,47.151194,7.254139,490,1979,1979-05-06,126,0.73,22.7,88.0,406.4
Switzerland/Biel,47.151194,7.254139,490,1980,1980-04-29,120,2.27,27.0,85.0,303.2
Switzerland/Biel,47.151194,7.254139,490,1992,1992-04-16,107,2.53,49.6,89.0,223.0
Switzerland/Biel,47.151194,7.254139,490,1993,1993-04-04,94,2.84,73.7,86.0,113.1
Switzerland/Biel,47.151194,7.254139,490,1994,1994-03-26,85,4.51,120.4,81.0,312.2
Switzerland/Biel,47.151194,7.254139,490,1996,1996-04-24,115,1.65,34.7,89.0,150.4
Switzerland/Biel,47.151194,7.254139,490,1997,1997-04-04,94,3.75,99.2,84.0,174.5
Switzerland/Biel,47.151194,7.254139,490,1998,1998-04-12,102,3.63,77.8,81.0,207.0
Switzerland/Biel,47.151194,7.254139,490,1999,1999-04-20,110,2.39,52.8,89.0,420.2
Switzerland/Biel,47.151194,7.254139,490,2000,2000-04-17,108,3.02,51.1,87.0,274.6
Switzerland/Biel,47.151194,7.254139,490,2001,2001-04-07,97,3.82,81.2,84.0,459.3
Switzerland/Biel,47.151194,7.254139,490,2002,2002-04-05,95,4.01,108.7,81.0,266.4
Switzerland/Biel,47.151194,7.254139,490,2003,2003-04-16,106,2.06,85.6,86.0,174.8
Switzerland/Biel,47.151194,7.254139,490,2004,2004-04-12,103,2.24,58.3,89.0,333.5
Switzerland/Biel,47.151194,7.254139,490,2005,2005-04-12,102,1.23,81.7,90.0,224.3
Switzerland/Biel,47.151194,7.254139,490,2006,2006-04-21,111,0.85,38.5,90.0,341.8
Switzerland/Biel,47.151194,7.254139,490,2007,2007-04-12,102,4.49,89.8,75.0,379.4
Switzerland/Biel,47.151194,7.254139,490,2008,2008-04-14,105,3.35,53.2,84.0,275.5
Switzerland/Biel,47.151194,7.254139,490,2009,2009-04-10,100,0.48,6.0,90.0,274.2
Switzerland/Biel,47.151194,7.254139,490,2010,2010-04-22,112,0.86,55.2,89.0,235.4
Switzerland/Biel,47.151194,7.254139,490,2011,2011-04-04,94,3.15,68.7,90.0,164.0
Switzerland/Biel,47.151194,7.254139,490,2012,2012-04-05,96,1.77,88.1,87.0,186.7
Switzerland/Biel,47.151194,7.254139,490,2013,2013-04-24,114,0.72,15.8,88.0,272.4
Switzerland/Biel,47.151194,7.254139,490,2014,2014-04-03,93,4.2,80.5,88.0,265.4
Switzerland/Biel,47.151194,7.254139,490,2015,2015-04-12,102,2.55,52.3,88.0,275.3
Switzerland/Biel,47.151194,7.254139,490,2017,2017-03-26,85,2.59,108.1,88.0,201.1
Switzerland/Biel,47.151194,7.254139,490,2018,2018-04-18,108,2.36,24.1,88.0,366.0
Switzerland/Biel,47.151194,7.254139,490,2019,2019-04-14,104,3.3,64.5,80.0,209.9
Switzerland/Biel,47.151194,7.254139,490,2020,2020-04-06,97,4.17,87.6,79.0,254.2
Switzerland/Biel,47.151194,7.254139,490,2021,2021-04-08,98,3.25,86.2,78.0,302.2
Switzerland/Biel,47.151194,7.254139,490,2022,2022-04-11,101,3.95,101.6,81.0,168.6
Switzerland/Biel,47.151194,7.254139,490,2023,2023-04-16,106,3.96,99.2,75.0,206.3
