location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Blonay,46.464014,6.891869,600,1988,1988-04-25,116,,,,
Switzerland/Blonay,46.464014,6.891869,600,1989,1989-04-03,93,,,,
Switzerland/Blonay,46.464014,6.891869,600,1990,1990-03-20,79,,,,
Switzerland/Blonay,46.464014,6.891869,600,1991,1991-04-11,101,,,,
Switzerland/Blonay,46.464014,6.891869,600,1992,1992-04-16,107,,,,
Switzerland/Blonay,46.464014,6.891869,600,1993,1993-04-20,110,,,,
Switzerland/Blonay,46.464014,6.891869,600,1994,1994-04-01,91,,,,
Switzerland/Blonay,46.464014,6.891869,600,1995,1995-04-10,100,,,,
Switzerland/Blonay,46.464014,6.891869,600,1996,1996-04-23,114,,,,
Switzerland/Blonay,46.464014,6.891869,600,1997,1997-04-02,92,,,,
Switzerland/Blonay,46.464014,6.891869,600,1998,1998-04-15,105,,,,
Switzerland/Blonay,46.464014,6.891869,600,1999,1999-04-20,110,,,,
Switzerland/Blonay,46.464014,6.891869,600,2000,2000-04-20,111,,,,
Switzerland/Blonay,46.464014,6.891869,600,2001,2001-04-13,103,,,,
Switzerland/Blonay,46.464014,6.891869,600,2002,2002-04-04,94,,,,
Switzerland/Blonay,46.464014,6.891869,600,2003,2003-04-16,106,,,,
Switzerland/Blonay,46.464014,6.891869,600,2004,2004-04-18,109,,,,
Switzerland/Blonay,46.464014,6.891869,600,2005,2005-04-21,111,,,,
Switzerland/Blonay,46.464014,6.891869,600,2006,2006-04-24,114,,,,
Switzerland/Blonay,46.464014,6.891869,600,2007,2007-04-13,103,,,,
Switzerland/Blonay,46.464014,6.891869,600,2008,2008-04-25,116,,,,
Switzerland/Blonay,46.464014,6.891869,600,2009,2009-04-13,103,,,,
Switzerland/Blonay,46.464014,6.891869,600,2010,2010-04-20,110,,,,
Switzerland/Blonay,46.464014,6.891869,600,2017,2017-04-07,97,,,,
Switzerland/Blonay,46.464014,6.891869,600,2018,2018-04-19,109,,,,
Switzerland/Blonay,46.464014,6.891869,600,2019,2019-04-10,100,,,,
Switzerland/Blonay,46.464014,6.891869,600,2020,2020-04-03,94,,,,
Switzerland/Blonay,46.464014,6.891869,600,2021,2021-04-10,100,,,,
Switzerland/Blonay,46.464014,6.891869,600,2022,2022-04-14,104,,,,
Switzerland/Blonay,46.464014,6.891869,600,2023,2023-04-20,110,,,,
