location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Bondo GR,46.337594,9.555908,825,1970,1970-05-08,128,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1971,1971-04-25,115,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1972,1972-04-18,109,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1973,1973-05-06,126,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1974,1974-04-28,118,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1975,1975-05-01,121,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1976,1976-04-15,106,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1977,1977-04-26,116,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1978,1978-05-10,130,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1979,1979-05-13,133,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1980,1980-05-05,126,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1981,1981-04-16,106,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1982,1982-04-29,119,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1983,1983-04-27,117,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1984,1984-05-06,127,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1985,1985-05-02,122,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1986,1986-05-12,132,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1987,1987-04-28,118,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1988,1988-04-26,117,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1989,1989-05-01,121,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1990,1990-04-03,93,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1991,1991-04-18,108,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1992,1992-04-23,114,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1993,1993-04-23,113,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1994,1994-04-21,111,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1995,1995-04-25,115,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1996,1996-04-30,121,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1997,1997-04-15,105,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1998,1998-04-27,117,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,1999,1999-04-25,115,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2000,2000-04-26,117,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2001,2001-04-28,118,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2002,2002-04-24,114,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2003,2003-04-28,118,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2004,2004-05-02,123,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2005,2005-04-28,118,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2006,2006-04-28,118,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2007,2007-04-16,106,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2008,2008-04-26,117,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2009,2009-04-23,113,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2010,2010-04-30,120,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2011,2011-04-09,99,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2012,2012-04-07,98,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2013,2013-05-05,125,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2014,2014-04-14,104,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2015,2015-04-23,113,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2016,2016-04-20,111,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2017,2017-04-15,105,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2018,2018-04-25,115,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2019,2019-04-15,105,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2020,2020-04-18,109,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2021,2021-04-20,110,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2022,2022-04-20,110,,,,
Switzerland/Bondo GR,46.337594,9.555908,825,2023,2023-04-24,114,,,,
