location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Boudry,46.949492,6.834386,450,2004,2004-04-17,108,,,,
Switzerland/Boudry,46.949492,6.834386,450,2005,2005-04-13,103,,,,
Switzerland/Boudry,46.949492,6.834386,450,2006,2006-04-23,113,,,,
Switzerland/Boudry,46.949492,6.834386,450,2007,2007-04-11,101,,,,
Switzerland/Boudry,46.949492,6.834386,450,2008,2008-04-11,102,,,,
Switzerland/Boudry,46.949492,6.834386,450,2009,2009-04-14,104,,,,
Switzerland/Boudry,46.949492,6.834386,450,2010,2010-04-20,110,,,,
Switzerland/Boudry,46.949492,6.834386,450,2011,2011-04-05,95,,,,
Switzerland/Boudry,46.949492,6.834386,450,2012,2012-04-03,94,,,,
Switzerland/Boudry,46.949492,6.834386,450,2013,2013-04-25,115,,,,
Switzerland/Boudry,46.949492,6.834386,450,2014,2014-04-06,96,,,,
Switzerland/Boudry,46.949492,6.834386,450,2015,2015-04-15,105,,,,
Switzerland/Boudry,46.949492,6.834386,450,2016,2016-04-09,100,,,,
Switzerland/Boudry,46.949492,6.834386,450,2017,2017-04-01,91,,,,
Switzerland/Boudry,46.949492,6.834386,450,2018,2018-04-18,108,,,,
Switzerland/Boudry,46.949492,6.834386,450,2019,2019-04-07,97,,,,
Switzerland/Boudry,46.949492,6.834386,450,2020,2020-04-06,97,,,,
Switzerland/Boudry,46.949492,6.834386,450,2021,2021-04-03,93,,,,
Switzerland/Boudry,46.949492,6.834386,450,2022,2022-03-31,90,,,,
Switzerland/Boudry,46.949492,6.834386,450,2023,2023-04-07,97,,,,
