location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1956,1956-04-08,99,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1957,1957-04-12,102,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1958,1958-04-10,100,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1959,1959-04-04,94,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1960,1960-04-15,106,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1961,1961-04-12,102,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1962,1962-04-30,120,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1963,1963-04-29,119,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1964,1964-04-22,113,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1966,1966-04-25,115,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1969,1969-04-27,117,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1970,1970-05-02,122,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1971,1971-04-18,108,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1972,1972-04-07,98,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1973,1973-04-15,105,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1975,1975-04-22,112,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1976,1976-04-23,114,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1977,1977-04-28,118,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1978,1978-04-30,120,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1979,1979-05-10,130,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1980,1980-05-15,136,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1981,1981-05-10,130,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1982,1982-05-05,125,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1983,1983-05-03,123,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1987,1987-04-27,117,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1988,1988-04-18,109,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1989,1989-03-31,90,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1990,1990-03-25,84,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1991,1991-04-08,98,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1992,1992-03-30,90,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1993,1993-04-21,111,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1994,1994-03-21,80,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1996,1996-04-18,109,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1997,1997-03-31,90,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1998,1998-03-29,88,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,1999,1999-04-09,99,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2001,2001-04-10,100,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2002,2002-04-23,113,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2003,2003-04-15,105,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2004,2004-04-25,116,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2005,2005-04-14,104,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2006,2006-04-20,110,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2007,2007-03-28,87,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2008,2008-04-15,106,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2009,2009-04-14,104,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2010,2010-04-27,117,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2011,2011-04-07,97,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2012,2012-04-01,92,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2013,2013-04-26,116,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2014,2014-04-06,96,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2015,2015-04-26,116,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2016,2016-04-18,109,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2017,2017-04-12,102,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2018,2018-04-19,109,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2019,2019-04-09,99,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2021,2021-04-26,116,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2022,2022-04-23,113,,,,
Switzerland/Brusio-Piazzo,46.265447,10.115375,850,2023,2023-04-28,118,,,,
