location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Buchs,47.158028,9.469656,450,1999,1999-04-19,109,,,,
Switzerland/Buchs,47.158028,9.469656,450,2000,2000-04-15,106,,,,
Switzerland/Buchs,47.158028,9.469656,450,2001,2001-04-20,110,,,,
Switzerland/Buchs,47.158028,9.469656,450,2002,2002-04-04,94,,,,
Switzerland/Buchs,47.158028,9.469656,450,2003,2003-04-17,107,,,,
Switzerland/Buchs,47.158028,9.469656,450,2004,2004-04-13,104,,,,
Switzerland/Buchs,47.158028,9.469656,450,2005,2005-04-10,100,,,,
Switzerland/Buchs,47.158028,9.469656,450,2006,2006-04-22,112,,,,
Switzerland/Buchs,47.158028,9.469656,450,2007,2007-04-12,102,,,,
Switzerland/Buchs,47.158028,9.469656,450,2008,2008-04-06,97,,,,
Switzerland/Buchs,47.158028,9.469656,450,2009,2009-04-12,102,,,,
Switzerland/Buchs,47.158028,9.469656,450,2010,2010-04-07,97,,,,
Switzerland/Buchs,47.158028,9.469656,450,2011,2011-04-04,94,,,,
Switzerland/Buchs,47.158028,9.469656,450,2012,2012-04-03,94,,,,
Switzerland/Buchs,47.158028,9.469656,450,2013,2013-04-19,109,,,,
Switzerland/Buchs,47.158028,9.469656,450,2014,2014-03-24,83,,,,
Switzerland/Buchs,47.158028,9.469656,450,2015,2015-04-16,106,,,,
Switzerland/Buchs,47.158028,9.469656,450,2016,2016-04-04,95,,,,
Switzerland/Buchs,47.158028,9.469656,450,2017,2017-03-29,88,,,,
Switzerland/Buchs,47.158028,9.469656,450,2018,2018-04-08,98,,,,
Switzerland/Buchs,47.158028,9.469656,450,2019,2019-04-05,95,,,,
Switzerland/Buchs,47.158028,9.469656,450,2021,2021-04-02,92,,,,
Switzerland/Buchs,47.158028,9.469656,450,2022,2022-03-29,88,,,,
Switzerland/Buchs,47.158028,9.469656,450,2023,2023-04-07,97,,,,
