location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Cartigny,46.177483,6.014089,400,1954,1954-04-11,101,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1958,1958-04-22,112,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1959,1959-04-02,92,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1960,1960-04-06,97,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1961,1961-03-27,86,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1962,1962-04-27,117,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1963,1963-04-22,112,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1964,1964-04-15,106,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1965,1965-04-14,104,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1966,1966-04-14,104,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1967,1967-04-18,108,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1968,1968-04-19,110,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1969,1969-04-24,114,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1970,1970-04-24,114,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1971,1971-04-15,105,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1972,1972-04-04,95,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1973,1973-04-26,116,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1974,1974-04-02,92,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1975,1975-04-24,114,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1976,1976-04-12,103,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1977,1977-04-06,96,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1978,1978-04-22,112,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1979,1979-04-14,104,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1980,1980-04-13,104,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1981,1981-04-05,95,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1982,1982-04-17,107,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1983,1983-04-21,111,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1984,1984-04-25,116,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1985,1985-04-30,120,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1986,1986-05-07,127,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1987,1987-04-20,110,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1988,1988-04-23,114,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1989,1989-04-05,95,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1990,1990-03-27,86,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1991,1991-04-01,91,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1992,1992-04-27,118,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1993,1993-04-25,115,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1994,1994-03-28,87,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1995,1995-04-10,100,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1996,1996-04-24,115,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1997,1997-03-30,89,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1998,1998-04-05,95,,,,
Switzerland/Cartigny,46.177483,6.014089,400,1999,1999-04-07,97,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2000,2000-04-08,99,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2001,2001-03-27,86,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2002,2002-03-24,83,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2003,2003-04-05,95,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2004,2004-04-09,100,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2005,2005-04-11,101,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2006,2006-04-19,109,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2007,2007-04-07,97,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2008,2008-04-10,101,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2009,2009-04-10,100,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2010,2010-04-12,102,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2011,2011-04-03,93,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2012,2012-03-31,91,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2013,2013-04-18,108,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2014,2014-04-02,92,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2015,2015-04-12,102,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2016,2016-04-04,95,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2017,2017-03-26,85,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2022,2022-04-07,97,,,,
Switzerland/Cartigny,46.177483,6.014089,400,2023,2023-04-07,97,,,,
