location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Cernier,47.098392,6.986644,900,1968,1968-04-25,116,,,,
Switzerland/Cernier,47.098392,6.986644,900,1969,1969-05-05,125,,,,
Switzerland/Cernier,47.098392,6.986644,900,1970,1970-05-25,145,,,,
Switzerland/Cernier,47.098392,6.986644,900,1972,1972-05-03,124,,,,
Switzerland/Cernier,47.098392,6.986644,900,1973,1973-05-20,140,,,,
Switzerland/Cernier,47.098392,6.986644,900,1974,1974-04-20,110,,,,
Switzerland/Cernier,47.098392,6.986644,900,1976,1976-04-20,111,,,,
Switzerland/Cernier,47.098392,6.986644,900,1977,1977-04-20,110,,,,
Switzerland/Cernier,47.098392,6.986644,900,1978,1978-05-17,137,,,,
Switzerland/Cernier,47.098392,6.986644,900,1979,1979-05-14,134,,,,
Switzerland/Cernier,47.098392,6.986644,900,1980,1980-05-15,136,,,,
Switzerland/Cernier,47.098392,6.986644,900,1982,1982-05-10,130,,,,
Switzerland/Cernier,47.098392,6.986644,900,1983,1983-05-18,138,,,,
Switzerland/Cernier,47.098392,6.986644,900,1984,1984-05-09,130,,,,
Switzerland/Cernier,47.098392,6.986644,900,1985,1985-05-07,127,,,,
Switzerland/Cernier,47.098392,6.986644,900,1986,1986-05-15,135,,,,
Switzerland/Cernier,47.098392,6.986644,900,1987,1987-05-15,135,,,,
Switzerland/Cernier,47.098392,6.986644,900,1988,1988-05-04,125,,,,
Switzerland/Cernier,47.098392,6.986644,900,1989,1989-04-20,110,,,,
Switzerland/Cernier,47.098392,6.986644,900,1990,1990-04-20,110,,,,
Switzerland/Cernier,47.098392,6.986644,900,1991,1991-04-20,110,,,,
Switzerland/Cernier,47.098392,6.986644,900,1992,1992-05-04,125,,,,
Switzerland/Cernier,47.098392,6.986644,900,1993,1993-04-29,119,,,,
Switzerland/Cernier,47.098392,6.986644,900,1994,1994-05-01,121,,,,
Switzerland/Cernier,47.098392,6.986644,900,1996,1996-05-10,131,,,,
Switzerland/Cernier,47.098392,6.986644,900,1997,1997-04-17,107,,,,
Switzerland/Cernier,47.098392,6.986644,900,1998,1998-04-28,118,,,,
Switzerland/Cernier,47.098392,6.986644,900,2000,2000-04-25,116,,,,
Switzerland/Cernier,47.098392,6.986644,900,2001,2001-05-08,128,,,,
Switzerland/Cernier,47.098392,6.986644,900,2002,2002-04-16,106,,,,
Switzerland/Cernier,47.098392,6.986644,900,2003,2003-04-22,112,,,,
Switzerland/Cernier,47.098392,6.986644,900,2004,2004-04-27,118,,,,
Switzerland/Cernier,47.098392,6.986644,900,2005,2005-04-26,116,,,,
Switzerland/Cernier,47.098392,6.986644,900,2008,2008-05-04,125,,,,
