location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1966,1966-03-28,87,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1967,1967-03-30,89,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1968,1968-04-04,95,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1969,1969-03-30,89,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1970,1970-03-30,89,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1971,1971-04-05,95,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1972,1972-04-01,92,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1973,1973-04-23,113,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1974,1974-03-20,79,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1975,1975-04-02,92,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1976,1976-03-29,89,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1977,1977-03-30,89,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1978,1978-04-18,108,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1979,1979-04-16,106,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1980,1980-04-04,95,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1981,1981-04-06,96,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1982,1982-04-08,98,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1983,1983-04-27,117,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1984,1984-04-23,114,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1985,1985-04-12,102,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1986,1986-04-29,119,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1987,1987-04-20,110,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1988,1988-04-13,104,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1989,1989-03-28,87,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1990,1990-03-16,75,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1991,1991-04-03,93,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1992,1992-03-28,88,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1993,1993-03-24,83,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1994,1994-03-28,87,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1995,1995-03-30,89,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1996,1996-04-15,106,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1997,1997-03-19,78,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1998,1998-03-20,79,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,1999,1999-04-02,92,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2000,2000-03-30,90,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2001,2001-04-10,100,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2004,2004-04-05,96,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2005,2005-03-30,89,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2006,2006-04-17,107,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2007,2007-03-22,81,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2008,2008-04-03,94,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2009,2009-04-06,96,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2010,2010-04-14,104,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2011,2011-04-03,93,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2012,2012-03-28,88,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2013,2013-04-18,108,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2014,2014-04-02,92,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2015,2015-04-12,102,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2016,2016-04-05,96,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2017,2017-03-29,88,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2018,2018-04-18,108,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2019,2019-04-08,98,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2020,2020-03-25,85,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2021,2021-04-05,95,,,,
Switzerland/Cevio-Cavergno,46.315447,8.598925,430,2022,2022-03-31,90,,,,
