location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Changins,46.395917,6.229419,435,1965,1965-04-20,110,,,,
Switzerland/Changins,46.395917,6.229419,435,1966,1966-04-15,105,,,,
Switzerland/Changins,46.395917,6.229419,435,1967,1967-04-15,105,,,,
Switzerland/Changins,46.395917,6.229419,435,1968,1968-04-20,111,,,,
Switzerland/Changins,46.395917,6.229419,435,1969,1969-04-24,114,,,,
Switzerland/Changins,46.395917,6.229419,435,1970,1970-05-04,124,,,,
Switzerland/Changins,46.395917,6.229419,435,1971,1971-04-23,113,,,,
Switzerland/Changins,46.395917,6.229419,435,1972,1972-04-15,106,,,,
Switzerland/Changins,46.395917,6.229419,435,1973,1973-04-30,120,,,,
Switzerland/Changins,46.395917,6.229419,435,1974,1974-04-20,110,,,,
Switzerland/Changins,46.395917,6.229419,435,1975,1975-04-25,115,,,,
Switzerland/Changins,46.395917,6.229419,435,1976,1976-04-21,112,,,,
Switzerland/Changins,46.395917,6.229419,435,1977,1977-04-15,105,,,,
Switzerland/Changins,46.395917,6.229419,435,1978,1978-05-02,122,,,,
Switzerland/Changins,46.395917,6.229419,435,1979,1979-04-23,113,,,,
Switzerland/Changins,46.395917,6.229419,435,1980,1980-04-23,114,,,,
Switzerland/Changins,46.395917,6.229419,435,1981,1981-04-11,101,,,,
Switzerland/Changins,46.395917,6.229419,435,1982,1982-04-29,119,,,,
Switzerland/Changins,46.395917,6.229419,435,1983,1983-04-15,105,,,,
Switzerland/Changins,46.395917,6.229419,435,1984,1984-04-25,116,,,,
Switzerland/Changins,46.395917,6.229419,435,1985,1985-04-22,112,,,,
Switzerland/Changins,46.395917,6.229419,435,1986,1986-05-05,125,,,,
Switzerland/Changins,46.395917,6.229419,435,1987,1987-04-22,112,,,,
Switzerland/Changins,46.395917,6.229419,435,1988,1988-04-25,116,,,,
Switzerland/Changins,46.395917,6.229419,435,1989,1989-04-08,98,,,,
Switzerland/Changins,46.395917,6.229419,435,1990,1990-04-04,94,,,,
Switzerland/Changins,46.395917,6.229419,435,1991,1991-04-12,102,,,,
Switzerland/Changins,46.395917,6.229419,435,1992,1992-04-22,113,,,,
Switzerland/Changins,46.395917,6.229419,435,1993,1993-04-19,109,,,,
Switzerland/Changins,46.395917,6.229419,435,1994,1994-03-27,86,,,,
Switzerland/Changins,46.395917,6.229419,435,1995,1995-04-10,100,,,,
Switzerland/Changins,46.395917,6.229419,435,1996,1996-04-23,114,,,,
Switzerland/Changins,46.395917,6.229419,435,1997,1997-03-30,89,,,,
Switzerland/Changins,46.395917,6.229419,435,1998,1998-04-15,105,,,,
Switzerland/Changins,46.395917,6.229419,435,1999,1999-04-09,99,,,,
Switzerland/Changins,46.395917,6.229419,435,2000,2000-04-10,101,,,,
Switzerland/Changins,46.395917,6.229419,435,2001,2001-04-05,95,,,,
Switzerland/Changins,46.395917,6.229419,435,2002,2002-04-08,98,,,,
Switzerland/Changins,46.395917,6.229419,435,2003,2003-04-06,96,,,,
Switzerland/Changins,46.395917,6.229419,435,2004,2004-04-15,106,,,,
Switzerland/Changins,46.395917,6.229419,435,2006,2006-04-20,110,,,,
Switzerland/Changins,46.395917,6.229419,435,2007,2007-04-13,103,,,,
Switzerland/Changins,46.395917,6.229419,435,2008,2008-04-28,119,,,,
Switzerland/Changins,46.395917,6.229419,435,2009,2009-04-11,101,,,,
Switzerland/Changins,46.395917,6.229419,435,2010,2010-04-19,109,,,,
Switzerland/Changins,46.395917,6.229419,435,2011,2011-04-07,97,,,,
Switzerland/Changins,46.395917,6.229419,435,2013,2013-04-23,113,,,,
Switzerland/Changins,46.395917,6.229419,435,2014,2014-04-06,96,,,,
Switzerland/Changins,46.395917,6.229419,435,2016,2016-04-14,105,,,,
Switzerland/Changins,46.395917,6.229419,435,2017,2017-04-04,94,,,,
Switzerland/Changins,46.395917,6.229419,435,2018,2018-04-16,106,,,,
Switzerland/Changins,46.395917,6.229419,435,2019,2019-04-03,93,,,,
Switzerland/Changins,46.395917,6.229419,435,2020,2020-04-01,92,,,,
Switzerland/Changins,46.395917,6.229419,435,2021,2021-04-03,93,,,,
Switzerland/Changins,46.395917,6.229419,435,2022,2022-04-04,94,,,,
Switzerland/Changins,46.395917,6.229419,435,2023,2023-04-06,96,,,,
