location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Chardonne,46.474036,6.835272,500,1983,1983-04-20,110,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1984,1984-04-26,117,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1985,1985-04-23,113,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1986,1986-05-05,125,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1987,1987-04-25,115,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1988,1988-04-21,112,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1989,1989-04-01,91,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1990,1990-03-25,84,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1991,1991-04-15,105,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1992,1992-04-25,116,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1993,1993-04-23,113,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1995,1995-04-13,103,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1996,1996-04-23,114,,,,
Switzerland/Chardonne,46.474036,6.835272,500,1999,1999-04-14,104,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2000,2000-04-25,116,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2001,2001-04-18,108,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2002,2002-03-28,87,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2003,2003-04-14,104,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2004,2004-04-10,101,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2005,2005-04-12,102,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2006,2006-04-25,115,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2007,2007-04-10,100,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2008,2008-04-10,101,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2009,2009-04-09,99,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2010,2010-04-17,107,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2011,2011-04-05,95,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2012,2012-04-01,92,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2014,2014-04-10,100,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2017,2017-03-31,90,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2018,2018-04-16,106,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2019,2019-04-14,104,,,,
Switzerland/Chardonne,46.474036,6.835272,500,2020,2020-04-04,95,,,,
