location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Chaumont,47.049108,6.978031,1150,1994,1994-05-11,131,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,1995,1995-05-09,129,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,1996,1996-05-20,141,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,1997,1997-05-10,130,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,1998,1998-05-12,132,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,1999,1999-05-11,131,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2000,2000-05-10,131,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2001,2001-05-18,138,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2002,2002-05-17,137,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2003,2003-05-10,130,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2004,2004-05-14,135,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2005,2005-05-08,128,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2006,2006-05-18,138,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2007,2007-04-28,118,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2008,2008-05-20,141,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2009,2009-05-08,128,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2010,2010-05-14,134,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2011,2011-04-23,113,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2012,2012-04-30,121,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2013,2013-05-18,138,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2014,2014-04-28,118,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2015,2015-05-06,126,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2016,2016-05-10,131,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2017,2017-05-17,137,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2018,2018-05-03,123,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2019,2019-05-18,138,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2020,2020-04-27,118,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2021,2021-05-29,149,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2022,2022-05-06,126,,,,
Switzerland/Chaumont,47.049108,6.978031,1150,2023,2023-05-09,129,,,,
