location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Chur,46.868244,9.5419,640,1962,1962-05-04,124,,,,
Switzerland/Chur,46.868244,9.5419,640,1965,1965-04-29,119,,,,
Switzerland/Chur,46.868244,9.5419,640,1966,1966-04-13,103,,,,
Switzerland/Chur,46.868244,9.5419,640,1967,1967-04-19,109,,,,
Switzerland/Chur,46.868244,9.5419,640,1968,1968-04-15,106,,,,
Switzerland/Chur,46.868244,9.5419,640,1969,1969-04-25,115,,,,
Switzerland/Chur,46.868244,9.5419,640,1970,1970-05-07,127,,,,
Switzerland/Chur,46.868244,9.5419,640,1971,1971-04-18,108,,,,
Switzerland/Chur,46.868244,9.5419,640,1972,1972-03-27,87,,,,
Switzerland/Chur,46.868244,9.5419,640,1973,1973-05-02,122,,,,
Switzerland/Chur,46.868244,9.5419,640,1974,1974-04-02,92,,,,
Switzerland/Chur,46.868244,9.5419,640,1975,1975-04-18,108,,,,
Switzerland/Chur,46.868244,9.5419,640,1976,1976-04-07,98,,,,
Switzerland/Chur,46.868244,9.5419,640,1977,1977-03-27,86,,,,
Switzerland/Chur,46.868244,9.5419,640,1978,1978-04-20,110,,,,
Switzerland/Chur,46.868244,9.5419,640,1979,1979-04-15,105,,,,
Switzerland/Chur,46.868244,9.5419,640,1980,1980-04-13,104,,,,
Switzerland/Chur,46.868244,9.5419,640,1981,1981-04-04,94,,,,
Switzerland/Chur,46.868244,9.5419,640,1982,1982-04-19,109,,,,
Switzerland/Chur,46.868244,9.5419,640,1983,1983-04-17,107,,,,
Switzerland/Chur,46.868244,9.5419,640,1985,1985-04-18,108,,,,
Switzerland/Chur,46.868244,9.5419,640,1986,1986-05-01,121,,,,
Switzerland/Chur,46.868244,9.5419,640,1989,1989-03-31,90,,,,
Switzerland/Chur,46.868244,9.5419,640,1990,1990-03-24,83,,,,
Switzerland/Chur,46.868244,9.5419,640,1991,1991-04-11,101,,,,
Switzerland/Chur,46.868244,9.5419,640,1992,1992-04-20,111,,,,
Switzerland/Chur,46.868244,9.5419,640,1993,1993-04-19,109,,,,
Switzerland/Chur,46.868244,9.5419,640,1994,1994-03-30,89,,,,
Switzerland/Chur,46.868244,9.5419,640,1995,1995-04-18,108,,,,
Switzerland/Chur,46.868244,9.5419,640,1996,1996-04-20,111,,,,
Switzerland/Chur,46.868244,9.5419,640,1997,1997-03-25,84,,,,
Switzerland/Chur,46.868244,9.5419,640,1998,1998-04-07,97,,,,
Switzerland/Chur,46.868244,9.5419,640,1999,1999-04-12,102,,,,
Switzerland/Chur,46.868244,9.5419,640,2000,2000-04-19,110,,,,
Switzerland/Chur,46.868244,9.5419,640,2001,2001-04-05,95,,,,
Switzerland/Chur,46.868244,9.5419,640,2002,2002-03-31,90,,,,
Switzerland/Chur,46.868244,9.5419,640,2003,2003-04-14,104,,,,
Switzerland/Chur,46.868244,9.5419,640,2004,2004-04-10,101,,,,
Switzerland/Chur,46.868244,9.5419,640,2006,2006-04-21,111,,,,
Switzerland/Chur,46.868244,9.5419,640,2007,2007-04-08,98,,,,
Switzerland/Chur,46.868244,9.5419,640,2008,2008-04-06,97,,,,
Switzerland/Chur,46.868244,9.5419,640,2010,2010-04-12,102,,,,
Switzerland/Chur,46.868244,9.5419,640,2011,2011-04-03,93,,,,
Switzerland/Chur,46.868244,9.5419,640,2012,2012-04-05,96,,,,
Switzerland/Chur,46.868244,9.5419,640,2013,2013-04-18,108,,,,
Switzerland/Chur,46.868244,9.5419,640,2014,2014-03-25,84,,,,
Switzerland/Chur,46.868244,9.5419,640,2015,2015-04-13,103,,,,
Switzerland/Chur,46.868244,9.5419,640,2016,2016-04-05,96,,,,
Switzerland/Chur,46.868244,9.5419,640,2017,2017-03-30,89,,,,
Switzerland/Chur,46.868244,9.5419,640,2018,2018-04-10,100,,,,
Switzerland/Chur,46.868244,9.5419,640,2019,2019-04-01,91,,,,
Switzerland/Chur,46.868244,9.5419,640,2020,2020-04-06,97,,,,
Switzerland/Chur,46.868244,9.5419,640,2021,2021-04-02,92,,,,
Switzerland/Chur,46.868244,9.5419,640,2022,2022-04-02,92,,,,
Switzerland/Chur,46.868244,9.5419,640,2023,2023-04-07,97,,,,
