location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1989,1989-03-29,88,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1990,1990-03-19,78,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1991,1991-04-05,95,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1992,1992-03-26,86,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1994,1994-03-24,83,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1995,1995-04-03,93,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1996,1996-04-19,110,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1997,1997-04-12,102,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1998,1998-03-27,86,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,1999,1999-04-09,99,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2000,2000-04-06,97,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2001,2001-04-04,94,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2002,2002-04-08,98,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2003,2003-04-01,91,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2004,2004-03-31,91,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2005,2005-04-11,101,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2006,2006-04-20,110,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2007,2007-03-30,89,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2008,2008-04-10,101,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2010,2010-04-18,108,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2011,2011-04-06,96,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2012,2012-04-03,94,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2013,2013-04-22,112,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2014,2014-04-24,114,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2016,2016-04-06,97,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2017,2017-04-04,94,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2018,2018-04-18,108,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2019,2019-04-14,104,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2020,2020-04-19,110,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2022,2022-04-06,96,,,,
Switzerland/Comprovasco / Motto,46.442531,8.950197,500,2023,2023-04-08,98,,,,
