location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Couvet,46.9213,6.637761,750,1954,1954-05-13,133,,,,
Switzerland/Couvet,46.9213,6.637761,750,1955,1955-05-04,124,,,,
Switzerland/Couvet,46.9213,6.637761,750,1956,1956-05-18,139,,,,
Switzerland/Couvet,46.9213,6.637761,750,1957,1957-05-03,123,,,,
Switzerland/Couvet,46.9213,6.637761,750,1958,1958-05-07,127,,,,
Switzerland/Couvet,46.9213,6.637761,750,1959,1959-04-14,104,,,,
Switzerland/Couvet,46.9213,6.637761,750,1960,1960-04-23,114,,,,
Switzerland/Couvet,46.9213,6.637761,750,1961,1961-04-10,100,,,,
Switzerland/Couvet,46.9213,6.637761,750,1962,1962-05-08,128,,,,
Switzerland/Couvet,46.9213,6.637761,750,1964,1964-05-02,123,,,,
Switzerland/Couvet,46.9213,6.637761,750,1965,1965-05-10,130,,,,
Switzerland/Couvet,46.9213,6.637761,750,1966,1966-04-25,115,,,,
Switzerland/Couvet,46.9213,6.637761,750,1967,1967-05-01,121,,,,
Switzerland/Couvet,46.9213,6.637761,750,1968,1968-04-28,119,,,,
Switzerland/Couvet,46.9213,6.637761,750,1969,1969-04-28,118,,,,
Switzerland/Couvet,46.9213,6.637761,750,1970,1970-05-15,135,,,,
Switzerland/Couvet,46.9213,6.637761,750,1971,1971-04-26,116,,,,
Switzerland/Couvet,46.9213,6.637761,750,1972,1972-05-05,126,,,,
Switzerland/Couvet,46.9213,6.637761,750,1974,1974-04-16,106,,,,
Switzerland/Couvet,46.9213,6.637761,750,1975,1975-05-10,130,,,,
Switzerland/Couvet,46.9213,6.637761,750,1976,1976-05-03,124,,,,
Switzerland/Couvet,46.9213,6.637761,750,1977,1977-04-23,113,,,,
Switzerland/Couvet,46.9213,6.637761,750,1978,1978-05-14,134,,,,
Switzerland/Couvet,46.9213,6.637761,750,1979,1979-05-16,136,,,,
Switzerland/Couvet,46.9213,6.637761,750,1980,1980-05-12,133,,,,
Switzerland/Couvet,46.9213,6.637761,750,1981,1981-04-18,108,,,,
Switzerland/Couvet,46.9213,6.637761,750,1982,1982-05-15,135,,,,
Switzerland/Couvet,46.9213,6.637761,750,1983,1983-05-08,128,,,,
Switzerland/Couvet,46.9213,6.637761,750,1984,1984-05-14,135,,,,
Switzerland/Couvet,46.9213,6.637761,750,1985,1985-05-17,137,,,,
Switzerland/Couvet,46.9213,6.637761,750,1986,1986-05-16,136,,,,
Switzerland/Couvet,46.9213,6.637761,750,1987,1987-04-28,118,,,,
Switzerland/Couvet,46.9213,6.637761,750,1988,1988-05-02,123,,,,
Switzerland/Couvet,46.9213,6.637761,750,1989,1989-04-25,115,,,,
Switzerland/Couvet,46.9213,6.637761,750,1990,1990-04-26,116,,,,
Switzerland/Couvet,46.9213,6.637761,750,1991,1991-05-04,124,,,,
Switzerland/Couvet,46.9213,6.637761,750,1992,1992-05-03,124,,,,
Switzerland/Couvet,46.9213,6.637761,750,1993,1993-04-25,115,,,,
Switzerland/Couvet,46.9213,6.637761,750,1994,1994-04-27,117,,,,
Switzerland/Couvet,46.9213,6.637761,750,1995,1995-05-01,121,,,,
Switzerland/Couvet,46.9213,6.637761,750,1996,1996-05-04,125,,,,
Switzerland/Couvet,46.9213,6.637761,750,1997,1997-04-14,104,,,,
Switzerland/Couvet,46.9213,6.637761,750,1998,1998-04-10,100,,,,
Switzerland/Couvet,46.9213,6.637761,750,1999,1999-04-30,120,,,,
Switzerland/Couvet,46.9213,6.637761,750,2001,2001-04-25,115,,,,
Switzerland/Couvet,46.9213,6.637761,750,2002,2002-04-25,115,,,,
Switzerland/Couvet,46.9213,6.637761,750,2003,2003-04-28,118,,,,
Switzerland/Couvet,46.9213,6.637761,750,2004,2004-05-14,135,,,,
Switzerland/Couvet,46.9213,6.637761,750,2005,2005-05-02,122,,,,
Switzerland/Couvet,46.9213,6.637761,750,2006,2006-05-11,131,,,,
Switzerland/Couvet,46.9213,6.637761,750,2007,2007-04-24,114,,,,
Switzerland/Couvet,46.9213,6.637761,750,2008,2008-05-12,133,,,,
Switzerland/Couvet,46.9213,6.637761,750,2009,2009-04-30,120,,,,
Switzerland/Couvet,46.9213,6.637761,750,2010,2010-04-28,118,,,,
Switzerland/Couvet,46.9213,6.637761,750,2011,2011-04-16,106,,,,
Switzerland/Couvet,46.9213,6.637761,750,2012,2012-05-01,122,,,,
Switzerland/Couvet,46.9213,6.637761,750,2013,2013-05-08,128,,,,
Switzerland/Couvet,46.9213,6.637761,750,2014,2014-04-20,110,,,,
Switzerland/Couvet,46.9213,6.637761,750,2015,2015-05-01,121,,,,
Switzerland/Couvet,46.9213,6.637761,750,2016,2016-04-26,117,,,,
Switzerland/Couvet,46.9213,6.637761,750,2017,2017-04-26,116,,,,
Switzerland/Couvet,46.9213,6.637761,750,2018,2018-04-23,113,,,,
Switzerland/Couvet,46.9213,6.637761,750,2019,2019-04-19,109,,,,
Switzerland/Couvet,46.9213,6.637761,750,2020,2020-04-12,103,,,,
Switzerland/Couvet,46.9213,6.637761,750,2021,2021-05-10,130,,,,
Switzerland/Couvet,46.9213,6.637761,750,2022,2022-04-21,111,,,,
Switzerland/Couvet,46.9213,6.637761,750,2023,2023-05-04,124,,,,
