location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Disentis,46.699461,8.850803,1200,1956,1956-05-25,146,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1957,1957-04-27,117,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1958,1958-05-17,137,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1959,1959-05-08,128,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1960,1960-05-12,133,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1961,1961-04-17,107,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1962,1962-05-22,142,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1963,1963-05-24,144,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1965,1965-05-22,142,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1966,1966-05-13,133,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1967,1967-05-12,132,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1968,1968-05-06,127,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1969,1969-05-10,130,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1970,1970-05-24,144,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1971,1971-05-15,135,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1972,1972-05-05,126,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1973,1973-05-20,140,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1974,1974-05-11,131,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1975,1975-05-18,138,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1976,1976-05-07,128,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1977,1977-05-14,134,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1978,1978-05-30,150,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1979,1979-05-14,134,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1980,1980-05-22,143,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1981,1981-05-14,134,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1982,1982-05-14,134,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1983,1983-05-11,131,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1984,1984-05-19,140,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1985,1985-05-18,138,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1986,1986-05-15,135,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1987,1987-05-17,137,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1988,1988-05-29,150,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1989,1989-05-15,135,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1990,1990-05-10,130,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1991,1991-05-09,129,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1992,1992-05-10,131,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1993,1993-05-01,121,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1994,1994-05-01,121,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1995,1995-05-06,126,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1996,1996-05-04,125,,,,
Switzerland/Disentis,46.699461,8.850803,1200,1997,1997-04-25,115,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2001,2001-05-10,130,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2003,2003-04-25,115,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2004,2004-05-02,123,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2005,2005-05-01,121,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2006,2006-05-04,124,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2007,2007-04-18,108,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2008,2008-05-06,127,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2009,2009-04-28,118,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2010,2010-04-30,120,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2011,2011-04-19,109,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2012,2012-05-01,122,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2013,2013-05-05,125,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2014,2014-04-22,112,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2018,2018-04-28,118,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2019,2019-05-02,122,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2020,2020-04-18,109,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2021,2021-04-30,120,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2022,2022-04-25,115,,,,
Switzerland/Disentis,46.699461,8.850803,1200,2023,2023-04-30,120,,,,
