location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Domat / Ems,46.834311,9.457442,580,1970,1970-05-08,128,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1971,1971-04-20,110,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1972,1972-03-28,88,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1973,1973-05-02,122,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1974,1974-04-03,93,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1975,1975-04-22,112,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1976,1976-04-16,107,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1977,1977-03-28,87,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1978,1978-04-25,115,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1979,1979-04-20,110,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1980,1980-04-20,111,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1981,1981-04-08,98,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1982,1982-04-20,110,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1983,1983-04-19,109,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1984,1984-04-29,120,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1985,1985-04-21,111,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1986,1986-05-01,121,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1987,1987-04-27,117,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1988,1988-04-20,111,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1989,1989-03-28,87,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1990,1990-03-26,85,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1991,1991-04-03,93,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1992,1992-04-20,111,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1993,1993-04-21,111,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1994,1994-03-28,87,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1995,1995-04-15,105,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1996,1996-04-22,113,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1997,1997-04-08,98,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1998,1998-04-06,96,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,1999,1999-04-13,103,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2000,2000-04-15,106,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2001,2001-04-04,94,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2002,2002-03-31,90,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2003,2003-04-14,104,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2004,2004-04-08,99,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2005,2005-04-06,96,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2006,2006-04-22,112,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2007,2007-04-10,100,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2008,2008-04-15,106,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2009,2009-04-13,103,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2010,2010-04-13,103,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2011,2011-04-02,92,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2012,2012-04-04,95,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2013,2013-04-17,107,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2014,2014-04-01,91,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2015,2015-04-16,106,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2016,2016-04-07,98,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2017,2017-03-31,90,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2018,2018-04-18,108,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2019,2019-04-10,100,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2020,2020-04-09,100,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2021,2021-04-11,101,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2022,2022-04-11,101,,,,
Switzerland/Domat / Ems,46.834311,9.457442,580,2023,2023-04-10,100,,,,
