location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Dornach,47.481642,7.611114,300,1998,1998-04-03,93,,,,
Switzerland/Dornach,47.481642,7.611114,300,1999,1999-04-06,96,,,,
Switzerland/Dornach,47.481642,7.611114,300,2000,2000-04-04,95,,,,
Switzerland/Dornach,47.481642,7.611114,300,2002,2002-03-20,79,,,,
Switzerland/Dornach,47.481642,7.611114,300,2003,2003-04-02,92,,,,
Switzerland/Dornach,47.481642,7.611114,300,2004,2004-04-06,97,,,,
Switzerland/Dornach,47.481642,7.611114,300,2005,2005-04-04,94,,,,
Switzerland/Dornach,47.481642,7.611114,300,2006,2006-04-19,109,,,,
Switzerland/Dornach,47.481642,7.611114,300,2007,2007-04-15,105,,,,
Switzerland/Dornach,47.481642,7.611114,300,2008,2008-03-31,91,,,,
Switzerland/Dornach,47.481642,7.611114,300,2009,2009-04-10,100,,,,
Switzerland/Dornach,47.481642,7.611114,300,2010,2010-04-10,100,,,,
Switzerland/Dornach,47.481642,7.611114,300,2011,2011-04-02,92,,,,
Switzerland/Dornach,47.481642,7.611114,300,2012,2012-04-02,93,,,,
Switzerland/Dornach,47.481642,7.611114,300,2013,2013-04-19,109,,,,
Switzerland/Dornach,47.481642,7.611114,300,2014,2014-03-28,87,,,,
Switzerland/Dornach,47.481642,7.611114,300,2015,2015-04-13,103,,,,
Switzerland/Dornach,47.481642,7.611114,300,2016,2016-04-03,94,,,,
Switzerland/Dornach,47.481642,7.611114,300,2017,2017-03-29,88,,,,
Switzerland/Dornach,47.481642,7.611114,300,2018,2018-04-12,102,,,,
Switzerland/Dornach,47.481642,7.611114,300,2019,2019-03-25,84,,,,
Switzerland/Dornach,47.481642,7.611114,300,2020,2020-03-18,78,,,,
Switzerland/Dornach,47.481642,7.611114,300,2023,2023-03-29,88,,,,
