location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Döttingen,47.568867,8.249947,350,1975,1975-04-10,100,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1976,1976-04-14,105,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1977,1977-04-03,93,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1978,1978-04-23,113,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1979,1979-04-22,112,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1980,1980-04-18,109,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1981,1981-04-08,98,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1982,1982-04-25,115,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1983,1983-04-29,119,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1984,1984-04-26,117,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1985,1985-04-21,111,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1986,1986-05-03,123,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1987,1987-04-26,116,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1988,1988-04-20,111,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1989,1989-04-06,96,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1990,1990-04-10,100,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1991,1991-04-16,106,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1992,1992-04-20,111,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1993,1993-04-19,109,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1994,1994-03-31,90,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1995,1995-04-21,111,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1996,1996-04-23,114,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1997,1997-04-05,95,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1998,1998-04-23,113,,,,
Switzerland/Döttingen,47.568867,8.249947,350,1999,1999-04-23,113,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2007,2007-04-06,96,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2008,2008-04-16,107,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2009,2009-04-13,103,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2010,2010-04-20,110,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2011,2011-04-10,100,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2012,2012-04-02,93,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2013,2013-04-23,113,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2015,2015-04-13,103,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2016,2016-04-10,101,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2017,2017-04-03,93,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2018,2018-04-18,108,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2019,2019-04-05,95,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2020,2020-04-05,96,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2021,2021-04-03,93,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2022,2022-04-05,95,,,,
Switzerland/Döttingen,47.568867,8.249947,350,2023,2023-04-09,99,,,,
