location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Edlibach,47.179358,8.573208,750,1971,1971-05-01,121,-2.49,0.0,90.0,248.3
Switzerland/Edlibach,47.179358,8.573208,750,1972,1972-04-22,113,1.72,11.8,90.0,143.1
Switzerland/Edlibach,47.179358,8.573208,750,1973,1973-05-12,132,-1.26,0.0,90.0,272.8
Switzerland/Edlibach,47.179358,8.573208,750,1974,1974-04-08,98,2.07,29.8,90.0,286.8
Switzerland/Edlibach,47.179358,8.573208,750,1975,1975-05-09,129,1.01,0.1,90.0,272.4
Switzerland/Edlibach,47.179358,8.573208,750,1976,1976-05-04,125,0.01,1.8,90.0,242.7
Switzerland/Edlibach,47.179358,8.573208,750,1977,1977-04-24,114,1.44,17.0,90.0,388.0
Switzerland/Edlibach,47.179358,8.573208,750,1978,1978-05-16,136,-0.26,6.3,90.0,449.5
Switzerland/Edlibach,47.179358,8.573208,750,1979,1979-05-18,138,-0.82,2.5,90.0,346.0
Switzerland/Edlibach,47.179358,8.573208,750,1980,1980-05-20,141,0.08,1.7,90.0,316.3
Switzerland/Edlibach,47.179358,8.573208,750,1981,1981-05-07,127,-1.0,18.0,90.0,393.2
Switzerland/Edlibach,47.179358,8.573208,750,1982,1982-05-15,135,0.13,0.4,90.0,334.0
Switzerland/Edlibach,47.179358,8.573208,750,1983,1983-05-04,124,0.13,5.1,90.0,356.1
Switzerland/Edlibach,47.179358,8.573208,750,1984,1984-05-15,136,-1.1,0.0,90.0,338.4
Switzerland/Edlibach,47.179358,8.573208,750,1985,1985-05-15,135,-2.39,0.2,90.0,297.9
Switzerland/Edlibach,47.179358,8.573208,750,1986,1986-05-12,132,-1.48,0.4,90.0,366.5
Switzerland/Edlibach,47.179358,8.573208,750,1987,1987-05-02,122,-2.26,1.6,90.0,325.3
Switzerland/Edlibach,47.179358,8.573208,750,1988,1988-05-05,126,0.53,2.6,90.0,575.9
Switzerland/Edlibach,47.179358,8.573208,750,1989,1989-05-02,122,2.07,27.8,90.0,207.0
Switzerland/Edlibach,47.179358,8.573208,750,1990,1990-05-04,124,2.27,42.8,90.0,319.1
Switzerland/Edlibach,47.179358,8.573208,750,1991,1991-05-09,129,0.51,14.3,90.0,210.0
Switzerland/Edlibach,47.179358,8.573208,750,1992,1992-05-06,127,0.42,5.1,90.0,337.5
Switzerland/Edlibach,47.179358,8.573208,750,1993,1993-04-26,116,0.53,12.6,90.0,213.2
Switzerland/Edlibach,47.179358,8.573208,750,1994,1994-04-27,117,2.11,34.8,89.0,348.0
Switzerland/Edlibach,47.179358,8.573208,750,1995,1995-05-04,124,0.53,0.3,90.0,513.5
Switzerland/Edlibach,47.179358,8.573208,750,1996,1996-05-06,127,-0.13,9.2,90.0,173.0
Switzerland/Edlibach,47.179358,8.573208,750,1997,1997-05-02,122,1.78,14.1,90.0,207.3
Switzerland/Edlibach,47.179358,8.573208,750,1998,1998-05-08,128,1.32,14.2,90.0,257.2
Switzerland/Edlibach,47.179358,8.573208,750,1999,1999-05-02,122,0.05,8.2,90.0,515.2
Switzerland/Edlibach,47.179358,8.573208,750,2008,2008-04-20,111,1.36,3.6,90.0,280.9
Switzerland/Edlibach,47.179358,8.573208,750,2009,2009-04-16,106,-0.78,0.0,90.0,355.7
Switzerland/Edlibach,47.179358,8.573208,750,2010,2010-04-21,111,-1.17,13.8,90.0,200.0
Switzerland/Edlibach,47.179358,8.573208,750,2011,2011-04-13,103,0.89,18.2,90.0,189.1
Switzerland/Edlibach,47.179358,8.573208,750,2012,2012-04-07,98,-0.33,19.1,90.0,293.8
Switzerland/Edlibach,47.179358,8.573208,750,2013,2013-04-28,118,-1.19,0.3,90.0,277.9
Switzerland/Edlibach,47.179358,8.573208,750,2014,2014-04-06,96,2.25,31.5,90.0,247.0
Switzerland/Edlibach,47.179358,8.573208,750,2015,2015-04-17,107,0.72,12.3,90.0,360.9
Switzerland/Edlibach,47.179358,8.573208,750,2016,2016-04-12,103,1.29,10.2,90.0,406.5
Switzerland/Edlibach,47.179358,8.573208,750,2017,2017-04-02,92,1.91,77.4,89.0,272.9
Switzerland/Edlibach,47.179358,8.573208,750,2018,2018-04-12,102,1.15,8.2,90.0,377.0
Switzerland/Edlibach,47.179358,8.573208,750,2019,2019-04-07,97,2.38,51.7,84.0,300.9
Switzerland/Edlibach,47.179358,8.573208,750,2020,2020-04-03,94,3.49,61.4,82.0,268.1
Switzerland/Edlibach,47.179358,8.573208,750,2021,2021-04-06,96,1.7,51.7,85.0,360.2
Switzerland/Edlibach,47.179358,8.573208,750,2022,2022-04-11,101,2.91,63.5,83.0,187.4
Switzerland/Edlibach,47.179358,8.573208,750,2023,2023-04-10,100,2.92,71.1,83.0,281.5
