location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Einsiedeln,47.131972,8.748844,910,1975,1975-05-24,144,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1976,1976-05-14,135,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1977,1977-05-08,128,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1978,1978-05-23,143,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1979,1979-05-21,141,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1980,1980-05-25,146,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1981,1981-05-15,135,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1982,1982-05-25,145,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1983,1983-05-15,135,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1984,1984-05-17,138,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1985,1985-05-16,136,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1986,1986-05-17,137,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1987,1987-05-10,130,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1988,1988-05-07,128,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1989,1989-04-25,115,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1990,1990-05-05,125,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1991,1991-05-21,141,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1992,1992-05-13,134,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1993,1993-04-30,120,,,,
Switzerland/Einsiedeln,47.131972,8.748844,910,1994,1994-05-03,123,,,,
