location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Elm,46.921942,9.172731,1000,1956,1956-05-15,136,,,,
Switzerland/Elm,46.921942,9.172731,1000,1957,1957-05-01,121,,,,
Switzerland/Elm,46.921942,9.172731,1000,1958,1958-05-15,135,,,,
Switzerland/Elm,46.921942,9.172731,1000,1959,1959-04-29,119,,,,
Switzerland/Elm,46.921942,9.172731,1000,1960,1960-05-12,133,,,,
Switzerland/Elm,46.921942,9.172731,1000,1961,1961-04-25,115,,,,
Switzerland/Elm,46.921942,9.172731,1000,1962,1962-06-01,152,,,,
Switzerland/Elm,46.921942,9.172731,1000,1963,1963-05-25,145,,,,
Switzerland/Elm,46.921942,9.172731,1000,1964,1964-05-10,131,,,,
Switzerland/Elm,46.921942,9.172731,1000,1965,1965-05-12,132,,,,
Switzerland/Elm,46.921942,9.172731,1000,1966,1966-05-10,130,,,,
Switzerland/Elm,46.921942,9.172731,1000,1967,1967-05-19,139,,,,
Switzerland/Elm,46.921942,9.172731,1000,1968,1968-04-24,115,,,,
Switzerland/Elm,46.921942,9.172731,1000,1969,1969-05-11,131,,,,
Switzerland/Elm,46.921942,9.172731,1000,1970,1970-05-24,144,,,,
Switzerland/Elm,46.921942,9.172731,1000,1971,1971-05-17,137,,,,
Switzerland/Elm,46.921942,9.172731,1000,1972,1972-05-14,135,,,,
Switzerland/Elm,46.921942,9.172731,1000,1973,1973-05-20,140,,,,
Switzerland/Elm,46.921942,9.172731,1000,1975,1975-05-18,138,,,,
Switzerland/Elm,46.921942,9.172731,1000,1976,1976-05-20,141,,,,
Switzerland/Elm,46.921942,9.172731,1000,1977,1977-05-22,142,,,,
Switzerland/Elm,46.921942,9.172731,1000,1978,1978-05-11,131,,,,
Switzerland/Elm,46.921942,9.172731,1000,1979,1979-05-27,147,,,,
Switzerland/Elm,46.921942,9.172731,1000,1980,1980-05-20,141,,,,
Switzerland/Elm,46.921942,9.172731,1000,1981,1981-05-08,128,,,,
Switzerland/Elm,46.921942,9.172731,1000,1982,1982-05-17,137,,,,
Switzerland/Elm,46.921942,9.172731,1000,1983,1983-05-12,132,,,,
Switzerland/Elm,46.921942,9.172731,1000,1984,1984-05-15,136,,,,
Switzerland/Elm,46.921942,9.172731,1000,1985,1985-05-20,140,,,,
Switzerland/Elm,46.921942,9.172731,1000,1986,1986-05-14,134,,,,
Switzerland/Elm,46.921942,9.172731,1000,1987,1987-05-16,136,,,,
Switzerland/Elm,46.921942,9.172731,1000,1988,1988-05-10,131,,,,
Switzerland/Elm,46.921942,9.172731,1000,1989,1989-05-05,125,,,,
Switzerland/Elm,46.921942,9.172731,1000,1990,1990-05-01,121,,,,
Switzerland/Elm,46.921942,9.172731,1000,1991,1991-05-19,139,,,,
Switzerland/Elm,46.921942,9.172731,1000,1992,1992-05-13,134,,,,
Switzerland/Elm,46.921942,9.172731,1000,1993,1993-05-05,125,,,,
Switzerland/Elm,46.921942,9.172731,1000,1994,1994-05-04,124,,,,
Switzerland/Elm,46.921942,9.172731,1000,1995,1995-05-04,124,,,,
Switzerland/Elm,46.921942,9.172731,1000,1996,1996-05-11,132,,,,
Switzerland/Elm,46.921942,9.172731,1000,1997,1997-05-16,136,,,,
Switzerland/Elm,46.921942,9.172731,1000,1998,1998-05-11,131,,,,
Switzerland/Elm,46.921942,9.172731,1000,1999,1999-05-06,126,,,,
Switzerland/Elm,46.921942,9.172731,1000,2000,2000-05-05,126,,,,
Switzerland/Elm,46.921942,9.172731,1000,2001,2001-05-05,125,,,,
Switzerland/Elm,46.921942,9.172731,1000,2002,2002-04-24,114,,,,
Switzerland/Elm,46.921942,9.172731,1000,2003,2003-05-11,131,,,,
Switzerland/Elm,46.921942,9.172731,1000,2004,2004-04-30,121,,,,
Switzerland/Elm,46.921942,9.172731,1000,2005,2005-05-02,122,,,,
Switzerland/Elm,46.921942,9.172731,1000,2006,2006-05-08,128,,,,
Switzerland/Elm,46.921942,9.172731,1000,2007,2007-04-21,111,,,,
Switzerland/Elm,46.921942,9.172731,1000,2008,2008-05-07,128,,,,
Switzerland/Elm,46.921942,9.172731,1000,2009,2009-04-29,119,,,,
Switzerland/Elm,46.921942,9.172731,1000,2010,2010-05-02,122,,,,
Switzerland/Elm,46.921942,9.172731,1000,2011,2011-04-24,114,,,,
Switzerland/Elm,46.921942,9.172731,1000,2013,2013-05-02,122,,,,
Switzerland/Elm,46.921942,9.172731,1000,2014,2014-04-17,107,,,,
Switzerland/Elm,46.921942,9.172731,1000,2015,2015-04-25,115,,,,
Switzerland/Elm,46.921942,9.172731,1000,2016,2016-04-20,111,,,,
Switzerland/Elm,46.921942,9.172731,1000,2017,2017-04-15,105,,,,
Switzerland/Elm,46.921942,9.172731,1000,2018,2018-04-25,115,,,,
Switzerland/Elm,46.921942,9.172731,1000,2019,2019-04-21,111,,,,
Switzerland/Elm,46.921942,9.172731,1000,2020,2020-04-14,105,,,,
Switzerland/Elm,46.921942,9.172731,1000,2021,2021-04-27,117,,,,
Switzerland/Elm,46.921942,9.172731,1000,2022,2022-04-22,112,,,,
Switzerland/Elm,46.921942,9.172731,1000,2023,2023-04-29,119,,,,
