location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Enges,47.056436,7.012192,820,1951,1951-05-05,125,0.2,8.3,90.0,325.8
Switzerland/Enges,47.056436,7.012192,820,1952,1952-04-25,116,-0.71,8.4,90.0,338.8
Switzerland/Enges,47.056436,7.012192,820,1954,1954-05-12,132,-1.15,13.9,90.0,225.5
Switzerland/Enges,47.056436,7.012192,820,1955,1955-05-01,121,-0.21,28.5,90.0,441.0
Switzerland/Enges,47.056436,7.012192,820,1956,1956-05-15,136,-2.24,25.5,90.0,190.2
Switzerland/Enges,47.056436,7.012192,820,1957,1957-04-20,110,2.09,74.3,90.0,311.4
Switzerland/Enges,47.056436,7.012192,820,1958,1958-05-08,128,-0.5,11.3,87.0,452.3
Switzerland/Enges,47.056436,7.012192,820,1959,1959-04-16,106,1.77,44.4,90.0,279.2
Switzerland/Enges,47.056436,7.012192,820,1960,1960-05-06,127,1.15,29.5,89.0,309.1
Switzerland/Enges,47.056436,7.012192,820,1961,1961-04-08,98,2.36,47.9,88.0,250.4
Switzerland/Enges,47.056436,7.012192,820,1962,1962-05-09,129,-0.6,5.6,85.0,385.5
Switzerland/Enges,47.056436,7.012192,820,1963,1963-05-15,135,-3.81,0.0,90.0,249.8
Switzerland/Enges,47.056436,7.012192,820,1966,1966-05-10,130,0.63,12.9,88.0,342.7
Switzerland/Enges,47.056436,7.012192,820,1967,1967-05-15,135,1.19,26.3,90.0,294.2
Switzerland/Enges,47.056436,7.012192,820,1968,1968-04-30,121,-0.07,17.6,90.0,363.3
Switzerland/Enges,47.056436,7.012192,820,1969,1969-05-14,134,-0.27,8.4,90.0,251.8
Switzerland/Enges,47.056436,7.012192,820,1970,1970-05-19,139,-1.08,0.0,90.0,555.0
Switzerland/Enges,47.056436,7.012192,820,1971,1971-05-01,121,-1.43,0.0,90.0,217.6
Switzerland/Enges,47.056436,7.012192,820,1972,1972-05-04,125,1.85,41.8,90.0,190.1
Switzerland/Enges,47.056436,7.012192,820,1973,1973-05-18,138,-1.09,3.1,90.0,202.6
Switzerland/Enges,47.056436,7.012192,820,1974,1974-04-15,105,2.81,68.9,89.0,265.4
Switzerland/Enges,47.056436,7.012192,820,1975,1975-05-11,131,1.85,3.3,88.0,242.7
Switzerland/Enges,47.056436,7.012192,820,1976,1976-05-01,122,0.81,12.0,90.0,169.6
Switzerland/Enges,47.056436,7.012192,820,1977,1977-05-02,122,2.43,61.9,90.0,424.5
Switzerland/Enges,47.056436,7.012192,820,1978,1978-05-20,140,0.21,13.3,89.0,431.5
Switzerland/Enges,47.056436,7.012192,820,1979,1979-05-25,145,-0.13,8.5,90.0,395.8
Switzerland/Enges,47.056436,7.012192,820,1980,1980-05-15,136,1.13,9.9,89.0,320.4
Switzerland/Enges,47.056436,7.012192,820,1981,1981-05-13,133,0.15,51.2,90.0,380.2
Switzerland/Enges,47.056436,7.012192,820,1982,1982-05-15,135,1.33,8.6,90.0,320.3
Switzerland/Enges,47.056436,7.012192,820,1983,1983-05-08,128,0.93,18.4,88.0,313.1
Switzerland/Enges,47.056436,7.012192,820,1984,1984-05-31,152,-0.27,2.3,89.0,374.3
Switzerland/Enges,47.056436,7.012192,820,1985,1985-05-15,135,-1.78,5.6,90.0,277.1
Switzerland/Enges,47.056436,7.012192,820,1986,1986-05-12,132,-1.22,2.8,90.0,358.4
Switzerland/Enges,47.056436,7.012192,820,1987,1987-05-14,134,-1.59,5.8,90.0,274.4
Switzerland/Enges,47.056436,7.012192,820,1988,1988-05-07,128,1.48,9.0,86.0,521.5
Switzerland/Enges,47.056436,7.012192,820,1989,1989-04-29,119,3.01,64.9,87.0,218.3
Switzerland/Enges,47.056436,7.012192,820,1990,1990-04-03,93,3.8,99.2,76.0,314.8
Switzerland/Enges,47.056436,7.012192,820,1991,1991-05-09,129,2.09,69.2,86.0,220.0
Switzerland/Enges,47.056436,7.012192,820,1992,1992-04-27,118,1.53,22.2,90.0,237.8
Switzerland/Enges,47.056436,7.012192,820,1993,1993-04-28,118,2.05,48.5,87.0,130.2
Switzerland/Enges,47.056436,7.012192,820,1994,1994-04-29,119,3.2,78.6,87.0,287.9
Switzerland/Enges,47.056436,7.012192,820,1995,1995-05-03,123,1.37,15.8,86.0,538.4
Switzerland/Enges,47.056436,7.012192,820,1996,1996-05-02,123,0.58,21.3,90.0,173.1
Switzerland/Enges,47.056436,7.012192,820,1997,1997-04-18,108,2.96,65.6,88.0,203.0
Switzerland/Enges,47.056436,7.012192,820,1998,1998-04-26,116,2.67,52.4,84.0,208.5
Switzerland/Enges,47.056436,7.012192,820,1999,1999-04-30,120,1.25,27.1,90.0,420.7
Switzerland/Enges,47.056436,7.012192,820,2000,2000-04-28,119,1.83,23.1,90.0,282.6
Switzerland/Enges,47.056436,7.012192,820,2001,2001-05-09,129,2.76,48.0,87.0,503.5
Switzerland/Enges,47.056436,7.012192,820,2002,2002-05-07,127,2.89,61.5,87.0,220.3
Switzerland/Enges,47.056436,7.012192,820,2003,2003-04-27,117,1.01,55.1,87.0,200.0
Switzerland/Enges,47.056436,7.012192,820,2004,2004-05-17,138,1.03,39.7,89.0,351.3
Switzerland/Enges,47.056436,7.012192,820,2005,2005-05-15,135,-0.03,54.1,90.0,246.2
Switzerland/Enges,47.056436,7.012192,820,2006,2006-05-05,125,-0.44,17.9,90.0,342.5
Switzerland/Enges,47.056436,7.012192,820,2007,2007-04-20,110,3.4,44.5,81.0,368.2
Switzerland/Enges,47.056436,7.012192,820,2008,2008-05-10,131,2.25,24.2,89.0,261.9
Switzerland/Enges,47.056436,7.012192,820,2009,2009-05-07,127,-0.91,0.0,90.0,298.5
Switzerland/Enges,47.056436,7.012192,820,2010,2010-05-01,121,-0.47,34.0,90.0,204.0
Switzerland/Enges,47.056436,7.012192,820,2011,2011-04-17,107,2.33,42.7,90.0,160.4
Switzerland/Enges,47.056436,7.012192,820,2012,2012-04-19,110,1.01,73.7,90.0,200.7
Switzerland/Enges,47.056436,7.012192,820,2013,2013-05-17,137,-0.47,3.1,89.0,284.4
Switzerland/Enges,47.056436,7.012192,820,2014,2014-04-10,100,3.02,60.5,90.0,277.3
Switzerland/Enges,47.056436,7.012192,820,2015,2015-04-19,109,1.31,22.5,88.0,290.9
Switzerland/Enges,47.056436,7.012192,820,2016,2016-04-26,117,2.0,25.3,88.0,460.4
Switzerland/Enges,47.056436,7.012192,820,2018,2018-04-27,117,0.98,2.9,90.0,430.2
Switzerland/Enges,47.056436,7.012192,820,2019,2019-04-25,115,2.16,41.0,85.0,248.8
Switzerland/Enges,47.056436,7.012192,820,2020,2020-04-15,106,3.17,51.4,84.0,278.1
Switzerland/Enges,47.056436,7.012192,820,2021,2021-04-15,105,1.9,61.1,83.0,319.0
Switzerland/Enges,47.056436,7.012192,820,2023,2023-04-22,112,2.59,53.4,86.0,260.3
