location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Entlebuch,46.987397,8.068953,765,1958,1958-05-09,129,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1959,1959-04-15,105,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1960,1960-05-03,124,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1961,1961-04-07,97,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1962,1962-05-08,128,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1963,1963-05-21,141,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1964,1964-05-07,128,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1966,1966-05-03,123,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1967,1967-05-08,128,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1968,1968-04-27,118,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1969,1969-05-13,133,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1970,1970-05-23,143,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1971,1971-05-06,126,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1972,1972-05-03,124,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1973,1973-05-17,137,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1974,1974-04-28,118,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1975,1975-05-15,135,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1976,1976-05-05,126,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1977,1977-04-26,116,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1978,1978-05-11,131,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1979,1979-05-17,137,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1980,1980-05-13,134,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1981,1981-04-30,120,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1982,1982-05-12,132,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1983,1983-04-29,119,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1984,1984-05-15,136,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1985,1985-05-12,132,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1986,1986-05-13,133,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1987,1987-05-02,122,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1988,1988-05-03,124,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1989,1989-04-18,108,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1990,1990-04-05,95,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1991,1991-04-16,106,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1992,1992-04-26,117,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1993,1993-04-25,115,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1994,1994-04-22,112,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1995,1995-04-28,118,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1996,1996-05-03,124,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1997,1997-04-14,104,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1998,1998-04-24,114,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,1999,1999-04-27,117,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2000,2000-04-23,114,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2001,2001-04-29,119,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2002,2002-04-21,111,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2003,2003-04-23,113,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2004,2004-04-27,118,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2005,2005-04-27,117,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2006,2006-05-04,124,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2007,2007-04-14,104,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2008,2008-04-28,119,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2009,2009-04-19,109,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2010,2010-04-25,115,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2011,2011-04-13,103,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2012,2012-04-26,117,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2013,2013-05-05,125,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2014,2014-04-14,104,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2015,2015-04-23,113,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2016,2016-04-24,115,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2017,2017-04-12,102,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2018,2018-04-21,111,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2019,2019-04-19,109,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2020,2020-04-10,101,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2021,2021-04-28,118,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2022,2022-04-15,105,,,,
Switzerland/Entlebuch,46.987397,8.068953,765,2023,2023-04-27,117,,,,
