location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Eschen-Boja,47.218989,9.520044,580,1973,1973-05-03,123,-0.77,0.4,90.0,237.5
Switzerland/Eschen-Boja,47.218989,9.520044,580,1974,1974-04-01,91,2.3,33.1,90.0,232.6
Switzerland/Eschen-Boja,47.218989,9.520044,580,1976,1976-04-12,103,0.35,7.8,90.0,228.4
Switzerland/Eschen-Boja,47.218989,9.520044,580,1977,1977-03-26,85,2.16,35.1,90.0,321.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,1978,1978-04-14,104,0.18,9.0,90.0,381.9
Switzerland/Eschen-Boja,47.218989,9.520044,580,1979,1979-04-18,108,-0.26,13.2,90.0,299.9
Switzerland/Eschen-Boja,47.218989,9.520044,580,1980,1980-04-27,118,0.12,6.6,90.0,260.7
Switzerland/Eschen-Boja,47.218989,9.520044,580,1981,1981-04-12,102,-0.87,33.8,90.0,339.5
Switzerland/Eschen-Boja,47.218989,9.520044,580,1982,1982-04-20,110,0.46,6.0,90.0,291.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,1983,1983-04-19,109,0.29,17.7,90.0,299.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,1984,1984-04-27,118,-1.12,1.8,90.0,293.1
Switzerland/Eschen-Boja,47.218989,9.520044,580,1986,1986-05-04,124,-1.32,4.6,90.0,315.7
Switzerland/Eschen-Boja,47.218989,9.520044,580,1987,1987-04-26,116,-2.0,4.7,90.0,290.9
Switzerland/Eschen-Boja,47.218989,9.520044,580,1988,1988-04-25,116,0.83,6.4,90.0,500.6
Switzerland/Eschen-Boja,47.218989,9.520044,580,1989,1989-04-08,98,2.34,58.8,89.0,184.2
Switzerland/Eschen-Boja,47.218989,9.520044,580,1990,1990-03-28,87,2.71,69.9,89.0,293.3
Switzerland/Eschen-Boja,47.218989,9.520044,580,1991,1991-04-15,105,0.39,45.7,90.0,171.5
Switzerland/Eschen-Boja,47.218989,9.520044,580,1992,1992-04-25,116,0.49,12.7,90.0,306.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,1993,1993-04-20,110,0.54,20.3,90.0,200.2
Switzerland/Eschen-Boja,47.218989,9.520044,580,1994,1994-03-31,90,2.45,67.4,89.0,299.4
Switzerland/Eschen-Boja,47.218989,9.520044,580,1995,1995-04-12,102,0.49,6.1,90.0,425.5
Switzerland/Eschen-Boja,47.218989,9.520044,580,1997,1997-04-06,96,2.05,36.2,90.0,191.1
Switzerland/Eschen-Boja,47.218989,9.520044,580,1998,1998-04-10,100,1.38,29.8,90.0,226.8
Switzerland/Eschen-Boja,47.218989,9.520044,580,1999,1999-04-18,108,0.59,21.9,90.0,426.8
Switzerland/Eschen-Boja,47.218989,9.520044,580,2000,2000-04-20,111,0.91,19.0,90.0,396.1
Switzerland/Eschen-Boja,47.218989,9.520044,580,2001,2001-04-10,100,2.36,44.1,89.0,383.4
Switzerland/Eschen-Boja,47.218989,9.520044,580,2002,2002-03-30,89,1.49,53.7,90.0,228.7
Switzerland/Eschen-Boja,47.218989,9.520044,580,2003,2003-04-19,109,-0.25,35.5,90.0,194.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,2004,2004-04-12,103,0.14,24.9,90.0,282.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,2005,2005-04-11,101,-1.03,47.9,90.0,269.7
Switzerland/Eschen-Boja,47.218989,9.520044,580,2006,2006-04-26,116,-2.04,11.5,90.0,265.4
Switzerland/Eschen-Boja,47.218989,9.520044,580,2007,2007-04-11,101,2.95,31.3,85.0,268.5
Switzerland/Eschen-Boja,47.218989,9.520044,580,2008,2008-04-10,101,2.3,28.0,89.0,246.7
Switzerland/Eschen-Boja,47.218989,9.520044,580,2009,2009-04-14,104,-0.05,1.4,90.0,309.7
Switzerland/Eschen-Boja,47.218989,9.520044,580,2010,2010-04-11,101,-0.52,29.7,90.0,190.6
Switzerland/Eschen-Boja,47.218989,9.520044,580,2011,2011-04-06,96,2.43,51.1,90.0,154.2
Switzerland/Eschen-Boja,47.218989,9.520044,580,2012,2012-04-06,97,-0.15,13.2,90.0,266.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,2013,2013-04-24,114,-0.25,6.4,90.0,281.3
Switzerland/Eschen-Boja,47.218989,9.520044,580,2014,2014-04-01,91,4.4,72.1,89.0,202.9
Switzerland/Eschen-Boja,47.218989,9.520044,580,2015,2015-04-18,108,1.27,23.2,89.0,295.5
Switzerland/Eschen-Boja,47.218989,9.520044,580,2016,2016-04-09,100,1.96,24.7,87.0,355.0
Switzerland/Eschen-Boja,47.218989,9.520044,580,2017,2017-04-06,96,2.35,109.4,88.0,312.6
Switzerland/Eschen-Boja,47.218989,9.520044,580,2018,2018-04-14,104,1.92,30.3,90.0,393.4
Switzerland/Eschen-Boja,47.218989,9.520044,580,2019,2019-04-08,98,1.86,41.8,85.0,384.4
Switzerland/Eschen-Boja,47.218989,9.520044,580,2020,2020-04-07,98,4.48,82.8,79.0,345.6
Switzerland/Eschen-Boja,47.218989,9.520044,580,2021,2021-04-01,91,2.2,71.6,79.0,406.5
Switzerland/Eschen-Boja,47.218989,9.520044,580,2022,2022-04-04,94,2.14,68.4,87.0,240.5
