location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Escholzmatt,46.898653,7.932344,910,1956,1956-05-21,142,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1957,1957-05-14,134,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1958,1958-05-10,130,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1959,1959-05-04,124,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1960,1960-05-06,127,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1961,1961-04-10,100,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1962,1962-05-10,130,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1963,1963-05-23,143,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1964,1964-05-08,129,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1965,1965-05-16,136,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1966,1966-05-05,125,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1967,1967-05-13,133,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1968,1968-04-24,115,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1969,1969-05-11,131,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1970,1970-05-24,144,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1971,1971-05-03,123,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1972,1972-05-15,136,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1973,1973-05-21,141,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1974,1974-04-30,120,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1975,1975-05-17,137,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1976,1976-05-04,125,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1977,1977-05-20,140,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1979,1979-05-20,140,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1980,1980-05-23,144,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1981,1981-05-19,139,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1982,1982-05-17,137,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1983,1983-05-08,128,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1984,1984-05-21,142,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1985,1985-05-27,147,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1986,1986-05-15,135,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1987,1987-05-22,142,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1988,1988-05-07,128,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1989,1989-04-24,114,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1990,1990-05-03,123,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1991,1991-05-09,129,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1992,1992-05-06,127,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1993,1993-04-27,117,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1994,1994-04-29,119,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1995,1995-05-05,125,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1996,1996-05-07,128,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1997,1997-05-12,132,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1998,1998-05-06,126,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,1999,1999-05-02,122,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2000,2000-04-29,120,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2001,2001-05-03,123,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2002,2002-04-25,115,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2003,2003-04-26,116,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2004,2004-05-03,124,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2005,2005-04-30,120,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2006,2006-05-08,128,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2007,2007-04-18,108,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2008,2008-05-10,131,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2009,2009-04-25,115,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2010,2010-04-30,120,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2011,2011-04-22,112,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2012,2012-04-30,121,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2013,2013-05-07,127,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2014,2014-04-26,116,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2015,2015-04-30,120,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2016,2016-05-07,128,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2017,2017-04-12,102,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2018,2018-04-23,113,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2019,2019-04-22,112,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2020,2020-04-14,105,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2021,2021-04-28,118,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2022,2022-04-20,110,,,,
Switzerland/Escholzmatt,46.898653,7.932344,910,2023,2023-04-30,120,,,,
