location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1989,1989-04-15,105,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1990,1990-04-05,95,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1991,1991-04-15,105,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1992,1992-04-20,111,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1993,1993-04-15,105,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1994,1994-04-05,95,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1995,1995-04-15,105,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1996,1996-05-05,126,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1997,1997-04-05,95,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1998,1998-04-15,105,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,1999,1999-04-20,110,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2000,2000-04-15,106,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2001,2001-04-30,120,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2002,2002-04-12,102,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2003,2003-04-18,108,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2005,2005-04-21,111,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2006,2006-04-23,113,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2007,2007-04-13,103,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2008,2008-04-24,115,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2009,2009-04-17,107,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2010,2010-04-22,112,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2011,2011-04-10,100,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2012,2012-04-24,115,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2013,2013-04-30,120,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2014,2014-04-09,99,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2015,2015-04-22,112,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2016,2016-04-20,111,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2019,2019-04-08,98,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2022,2022-04-13,103,,,,
Switzerland/Estavayer-le-Lac,46.841619,6.848706,450,2023,2023-04-17,107,,,,
