location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Fanas,46.983531,9.660289,910,1970,1970-05-16,136,,,,
Switzerland/Fanas,46.983531,9.660289,910,1971,1971-04-22,112,,,,
Switzerland/Fanas,46.983531,9.660289,910,1972,1972-04-05,96,,,,
Switzerland/Fanas,46.983531,9.660289,910,1973,1973-05-14,134,,,,
Switzerland/Fanas,46.983531,9.660289,910,1974,1974-04-19,109,,,,
Switzerland/Fanas,46.983531,9.660289,910,1975,1975-05-02,122,,,,
Switzerland/Fanas,46.983531,9.660289,910,1976,1976-04-21,112,,,,
Switzerland/Fanas,46.983531,9.660289,910,1977,1977-04-25,115,,,,
Switzerland/Fanas,46.983531,9.660289,910,1978,1978-05-06,126,,,,
Switzerland/Fanas,46.983531,9.660289,910,1979,1979-05-16,136,,,,
Switzerland/Fanas,46.983531,9.660289,910,1980,1980-05-13,134,,,,
Switzerland/Fanas,46.983531,9.660289,910,1981,1981-04-15,105,,,,
Switzerland/Fanas,46.983531,9.660289,910,1982,1982-05-08,128,,,,
Switzerland/Fanas,46.983531,9.660289,910,1983,1983-05-01,121,,,,
Switzerland/Fanas,46.983531,9.660289,910,1984,1984-05-16,137,,,,
Switzerland/Fanas,46.983531,9.660289,910,1985,1985-05-16,136,,,,
Switzerland/Fanas,46.983531,9.660289,910,1986,1986-05-11,131,,,,
Switzerland/Fanas,46.983531,9.660289,910,1987,1987-05-02,122,,,,
Switzerland/Fanas,46.983531,9.660289,910,1988,1988-05-06,127,,,,
Switzerland/Fanas,46.983531,9.660289,910,1989,1989-04-12,102,,,,
Switzerland/Fanas,46.983531,9.660289,910,1991,1991-05-18,138,,,,
Switzerland/Fanas,46.983531,9.660289,910,1992,1992-05-08,129,,,,
Switzerland/Fanas,46.983531,9.660289,910,1993,1993-04-29,119,,,,
Switzerland/Fanas,46.983531,9.660289,910,1999,1999-04-28,118,,,,
Switzerland/Fanas,46.983531,9.660289,910,2000,2000-04-26,117,,,,
Switzerland/Fanas,46.983531,9.660289,910,2001,2001-05-03,123,,,,
Switzerland/Fanas,46.983531,9.660289,910,2002,2002-04-16,106,,,,
Switzerland/Fanas,46.983531,9.660289,910,2004,2004-04-30,121,,,,
Switzerland/Fanas,46.983531,9.660289,910,2005,2005-04-30,120,,,,
Switzerland/Fanas,46.983531,9.660289,910,2006,2006-05-12,132,,,,
Switzerland/Fanas,46.983531,9.660289,910,2007,2007-04-18,108,,,,
