location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Fiesch,46.400261,8.127792,1100,1951,1951-04-25,115,-2.45,0.3,90.0,653.3
Switzerland/Fiesch,46.400261,8.127792,1100,1952,1952-04-28,119,-3.29,0.0,90.0,159.6
Switzerland/Fiesch,46.400261,8.127792,1100,1953,1953-04-20,110,-3.19,1.9,90.0,33.9
Switzerland/Fiesch,46.400261,8.127792,1100,1954,1954-05-01,121,-3.55,0.0,90.0,270.9
Switzerland/Fiesch,46.400261,8.127792,1100,1955,1955-05-05,125,-2.41,13.6,90.0,357.1
Switzerland/Fiesch,46.400261,8.127792,1100,1956,1956-05-12,133,-5.13,1.0,90.0,304.9
Switzerland/Fiesch,46.400261,8.127792,1100,1957,1957-04-20,110,-0.38,15.9,90.0,290.0
Switzerland/Fiesch,46.400261,8.127792,1100,1958,1958-05-05,125,-3.32,1.2,90.0,236.4
Switzerland/Fiesch,46.400261,8.127792,1100,1965,1965-05-15,135,-3.98,6.4,90.0,201.6
Switzerland/Fiesch,46.400261,8.127792,1100,1966,1966-05-05,125,-2.12,0.0,90.0,254.4
Switzerland/Fiesch,46.400261,8.127792,1100,1967,1967-05-11,131,-2.26,3.3,90.0,296.4
Switzerland/Fiesch,46.400261,8.127792,1100,1968,1968-04-27,118,-2.36,5.4,90.0,344.5
Switzerland/Fiesch,46.400261,8.127792,1100,1969,1969-05-12,132,-3.34,0.0,90.0,216.8
Switzerland/Fiesch,46.400261,8.127792,1100,1970,1970-05-25,145,-3.51,0.0,90.0,444.1
Switzerland/Fiesch,46.400261,8.127792,1100,1971,1971-05-07,127,-3.94,0.0,90.0,336.2
Switzerland/Fiesch,46.400261,8.127792,1100,1972,1972-04-26,117,-0.9,1.4,90.0,467.8
Switzerland/Fiesch,46.400261,8.127792,1100,1973,1973-05-16,136,-2.77,1.3,90.0,135.8
Switzerland/Fiesch,46.400261,8.127792,1100,1974,1974-05-10,130,-0.3,8.2,90.0,421.0
Switzerland/Fiesch,46.400261,8.127792,1100,1975,1975-05-13,133,-1.38,0.0,90.0,432.7
Switzerland/Fiesch,46.400261,8.127792,1100,1976,1976-05-03,124,-1.78,4.8,90.0,130.7
Switzerland/Fiesch,46.400261,8.127792,1100,1977,1977-05-08,128,-0.81,13.1,90.0,528.7
Switzerland/Fiesch,46.400261,8.127792,1100,1978,1978-05-13,133,-1.99,3.8,90.0,536.6
Switzerland/Fiesch,46.400261,8.127792,1100,1979,1979-05-18,138,-2.96,1.1,90.0,463.5
Switzerland/Fiesch,46.400261,8.127792,1100,1980,1980-05-18,139,-2.16,1.9,90.0,301.3
Switzerland/Fiesch,46.400261,8.127792,1100,1981,1981-05-02,122,-2.94,19.7,90.0,316.7
