location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Flawil,47.415283,9.182167,630,1952,1952-04-17,108,-1.21,6.3,90.0,325.4
Switzerland/Flawil,47.415283,9.182167,630,1953,1953-04-21,111,-2.03,5.6,90.0,138.6
Switzerland/Flawil,47.415283,9.182167,630,1954,1954-05-01,121,-1.69,9.3,90.0,215.7
Switzerland/Flawil,47.415283,9.182167,630,1955,1955-05-01,121,-1.19,14.0,90.0,350.6
Switzerland/Flawil,47.415283,9.182167,630,1956,1956-05-05,126,-3.15,19.0,90.0,223.4
Switzerland/Flawil,47.415283,9.182167,630,1957,1957-04-20,110,1.26,67.5,89.0,261.6
Switzerland/Flawil,47.415283,9.182167,630,1958,1958-05-01,121,-1.03,2.1,90.0,396.3
Switzerland/Flawil,47.415283,9.182167,630,1959,1959-04-13,103,0.17,19.8,90.0,251.0
Switzerland/Flawil,47.415283,9.182167,630,1960,1960-05-08,129,0.24,22.3,90.0,249.0
Switzerland/Flawil,47.415283,9.182167,630,1961,1961-04-08,98,1.52,32.5,90.0,249.7
Switzerland/Flawil,47.415283,9.182167,630,1962,1962-05-10,130,-1.4,4.8,86.0,345.4
Switzerland/Flawil,47.415283,9.182167,630,1963,1963-05-02,122,-4.53,0.0,90.0,234.7
Switzerland/Flawil,47.415283,9.182167,630,1964,1964-04-29,120,-1.08,3.2,90.0,243.1
Switzerland/Flawil,47.415283,9.182167,630,1965,1965-05-06,126,-1.54,3.3,90.0,266.5
Switzerland/Flawil,47.415283,9.182167,630,1968,1968-04-20,111,-0.35,18.7,90.0,352.2
Switzerland/Flawil,47.415283,9.182167,630,1970,1970-05-14,134,-1.22,0.0,90.0,466.5
Switzerland/Flawil,47.415283,9.182167,630,1971,1971-05-06,126,-2.63,0.0,90.0,219.9
Switzerland/Flawil,47.415283,9.182167,630,1972,1972-05-03,124,1.91,42.7,90.0,111.6
Switzerland/Flawil,47.415283,9.182167,630,1973,1973-05-12,132,-1.16,0.6,90.0,234.6
Switzerland/Flawil,47.415283,9.182167,630,1974,1974-04-12,102,2.4,59.9,90.0,237.9
Switzerland/Flawil,47.415283,9.182167,630,1975,1975-05-08,128,1.5,3.2,88.0,243.7
Switzerland/Flawil,47.415283,9.182167,630,1976,1976-05-02,123,0.21,8.8,90.0,218.4
Switzerland/Flawil,47.415283,9.182167,630,1977,1977-04-26,116,1.76,51.5,90.0,337.0
Switzerland/Flawil,47.415283,9.182167,630,1978,1978-05-04,124,-0.65,6.1,90.0,383.3
Switzerland/Flawil,47.415283,9.182167,630,1979,1979-05-15,135,-0.65,12.7,90.0,308.7
Switzerland/Flawil,47.415283,9.182167,630,1992,1992-05-02,123,1.33,18.8,90.0,283.8
Switzerland/Flawil,47.415283,9.182167,630,1995,1995-04-22,112,1.37,11.7,89.0,428.4
Switzerland/Flawil,47.415283,9.182167,630,1996,1996-05-10,131,-0.29,14.6,90.0,162.9
Switzerland/Flawil,47.415283,9.182167,630,1997,1997-04-22,112,2.14,50.2,89.0,186.2
Switzerland/Flawil,47.415283,9.182167,630,1998,1998-04-24,114,2.29,40.2,89.0,221.6
Switzerland/Flawil,47.415283,9.182167,630,1999,1999-04-27,117,0.99,27.7,90.0,410.0
Switzerland/Flawil,47.415283,9.182167,630,2000,2000-04-24,115,1.68,26.3,90.0,371.2
Switzerland/Flawil,47.415283,9.182167,630,2001,2001-04-30,120,2.32,42.7,89.0,397.8
Switzerland/Flawil,47.415283,9.182167,630,2002,2002-04-20,110,2.87,66.2,88.0,216.4
Switzerland/Flawil,47.415283,9.182167,630,2003,2003-04-25,115,0.18,44.0,88.0,195.1
Switzerland/Flawil,47.415283,9.182167,630,2004,2004-04-28,119,0.5,30.8,90.0,284.8
Switzerland/Flawil,47.415283,9.182167,630,2005,2005-04-26,116,-0.26,46.4,90.0,269.4
Switzerland/Flawil,47.415283,9.182167,630,2006,2006-05-03,123,-1.12,9.7,90.0,273.8
Switzerland/Flawil,47.415283,9.182167,630,2007,2007-04-16,106,3.29,39.1,83.0,279.5
Switzerland/Flawil,47.415283,9.182167,630,2008,2008-04-30,121,2.11,26.6,89.0,254.0
Switzerland/Flawil,47.415283,9.182167,630,2009,2009-04-18,108,-0.39,0.4,90.0,293.3
Switzerland/Flawil,47.415283,9.182167,630,2010,2010-05-01,121,-0.67,30.6,90.0,189.8
Switzerland/Flawil,47.415283,9.182167,630,2011,2011-04-17,107,1.48,36.7,90.0,159.4
Switzerland/Flawil,47.415283,9.182167,630,2012,2012-04-22,113,0.21,34.5,89.0,239.4
Switzerland/Flawil,47.415283,9.182167,630,2013,2013-04-28,118,-0.62,4.4,90.0,271.2
Switzerland/Flawil,47.415283,9.182167,630,2014,2014-04-14,104,3.34,53.8,90.0,207.2
Switzerland/Flawil,47.415283,9.182167,630,2015,2015-04-24,114,1.07,31.9,88.0,288.5
Switzerland/Flawil,47.415283,9.182167,630,2016,2016-04-20,111,1.97,24.5,88.0,362.7
Switzerland/Flawil,47.415283,9.182167,630,2017,2017-04-08,98,2.41,104.4,86.0,248.0
Switzerland/Flawil,47.415283,9.182167,630,2018,2018-04-16,106,1.93,37.9,88.0,356.8
Switzerland/Flawil,47.415283,9.182167,630,2019,2019-04-17,107,2.91,74.2,78.0,298.9
Switzerland/Flawil,47.415283,9.182167,630,2022,2022-04-14,104,3.37,94.9,81.0,185.1
Switzerland/Flawil,47.415283,9.182167,630,2023,2023-04-20,110,3.68,121.5,71.0,215.8
