location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Frauenfeld,47.560647,8.887883,405,1992,1992-04-24,115,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,1993,1993-04-17,107,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,1994,1994-03-26,85,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,1995,1995-04-12,102,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,1996,1996-04-27,118,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,1997,1997-04-03,93,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,1998,1998-04-10,100,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,1999,1999-04-17,107,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2000,2000-04-10,101,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2001,2001-04-13,103,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2002,2002-04-02,92,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2003,2003-04-05,95,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2004,2004-04-14,105,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2005,2005-04-10,100,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2006,2006-04-24,114,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2007,2007-04-10,100,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2008,2008-04-13,104,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2009,2009-04-12,102,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2010,2010-04-17,107,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2011,2011-04-04,94,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2012,2012-04-03,94,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2013,2013-04-22,112,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2014,2014-04-02,92,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2015,2015-04-10,100,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2016,2016-04-16,107,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2017,2017-04-15,105,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2018,2018-04-15,105,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2019,2019-04-08,98,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2021,2021-04-14,104,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2022,2022-04-14,104,,,,
Switzerland/Frauenfeld,47.560647,8.887883,405,2023,2023-04-17,107,,,,
