location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Gadmen,46.736853,8.351842,1205,1956,1956-05-27,148,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1958,1958-05-23,143,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1959,1959-05-30,150,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1960,1960-05-15,136,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1961,1961-05-10,130,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1962,1962-06-15,166,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1963,1963-06-05,156,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1965,1965-05-26,146,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1966,1966-05-20,140,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1967,1967-06-06,157,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1968,1968-05-10,131,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1974,1974-05-21,141,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1975,1975-05-24,144,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1977,1977-05-24,144,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1978,1978-06-02,153,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1980,1980-06-15,167,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1982,1982-05-25,145,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1984,1984-06-09,161,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1985,1985-06-07,158,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1986,1986-05-20,140,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1987,1987-05-08,128,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1988,1988-05-22,143,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1989,1989-05-20,140,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1990,1990-05-22,142,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1992,1992-05-13,134,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1993,1993-05-15,135,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1995,1995-06-11,162,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1998,1998-05-16,136,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,1999,1999-05-12,132,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2000,2000-05-12,133,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2001,2001-05-14,134,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2002,2002-05-15,135,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2003,2003-05-01,121,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2004,2004-05-16,137,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2005,2005-05-24,144,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2006,2006-05-22,142,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2007,2007-04-24,114,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2009,2009-05-08,128,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2012,2012-05-11,132,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2013,2013-05-21,141,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2015,2015-05-05,125,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2016,2016-05-11,132,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2017,2017-05-17,137,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2018,2018-05-07,127,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2019,2019-05-23,143,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2020,2020-04-21,112,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2021,2021-05-30,150,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2022,2022-05-12,132,,,,
Switzerland/Gadmen,46.736853,8.351842,1205,2023,2023-05-23,143,,,,
