location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Grellingen,47.441186,7.597728,350,2004,2004-04-20,111,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2005,2005-04-07,97,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2006,2006-04-26,116,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2007,2007-04-10,100,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2008,2008-04-09,100,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2009,2009-04-14,104,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2010,2010-04-13,103,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2011,2011-04-05,95,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2012,2012-04-04,95,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2013,2013-04-20,110,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2014,2014-03-30,89,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2015,2015-04-13,103,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2016,2016-04-06,97,,,,
Switzerland/Grellingen,47.441186,7.597728,350,2017,2017-03-31,90,,,,
