location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Grossdietwil,47.166089,7.887067,610,1963,1963-04-28,118,-3.69,0.9,90.0,245.8
Switzerland/Grossdietwil,47.166089,7.887067,610,1964,1964-04-22,113,0.37,9.4,89.0,238.4
Switzerland/Grossdietwil,47.166089,7.887067,610,1965,1965-05-07,127,-0.56,18.3,90.0,247.6
Switzerland/Grossdietwil,47.166089,7.887067,610,1969,1969-05-10,130,0.29,10.4,90.0,247.5
Switzerland/Grossdietwil,47.166089,7.887067,610,1970,1970-05-15,135,-0.33,2.1,90.0,451.5
Switzerland/Grossdietwil,47.166089,7.887067,610,1971,1971-04-24,114,-1.11,0.2,90.0,210.1
Switzerland/Grossdietwil,47.166089,7.887067,610,1972,1972-04-30,121,2.8,58.4,90.0,130.9
Switzerland/Grossdietwil,47.166089,7.887067,610,1973,1973-05-08,128,-0.3,12.0,90.0,202.4
Switzerland/Grossdietwil,47.166089,7.887067,610,1974,1974-04-08,98,3.57,84.5,88.0,217.2
Switzerland/Grossdietwil,47.166089,7.887067,610,1975,1975-05-04,124,2.42,14.6,87.0,223.9
Switzerland/Grossdietwil,47.166089,7.887067,610,1976,1976-04-25,116,1.52,24.1,90.0,176.5
Switzerland/Grossdietwil,47.166089,7.887067,610,1977,1977-05-10,130,2.9,73.3,90.0,367.9
Switzerland/Grossdietwil,47.166089,7.887067,610,1978,1978-05-01,121,0.91,25.5,90.0,389.1
Switzerland/Grossdietwil,47.166089,7.887067,610,1979,1979-05-12,132,0.4,21.8,89.0,351.7
Switzerland/Grossdietwil,47.166089,7.887067,610,1980,1980-05-08,129,1.86,29.1,85.0,275.6
Switzerland/Grossdietwil,47.166089,7.887067,610,1981,1981-04-20,110,0.72,66.4,90.0,331.2
Switzerland/Grossdietwil,47.166089,7.887067,610,1982,1982-05-12,132,1.85,15.2,90.0,319.0
Switzerland/Grossdietwil,47.166089,7.887067,610,1983,1983-04-26,116,2.06,46.6,85.0,285.0
Switzerland/Grossdietwil,47.166089,7.887067,610,1984,1984-05-07,128,0.71,13.7,88.0,279.2
Switzerland/Grossdietwil,47.166089,7.887067,610,1985,1985-05-07,127,-1.24,13.6,90.0,251.3
Switzerland/Grossdietwil,47.166089,7.887067,610,1986,1986-05-12,132,-0.27,18.4,89.0,298.3
Switzerland/Grossdietwil,47.166089,7.887067,610,1987,1987-05-07,127,-0.67,19.9,89.0,249.9
Switzerland/Grossdietwil,47.166089,7.887067,610,1988,1988-05-01,122,2.55,24.4,85.0,448.7
Switzerland/Grossdietwil,47.166089,7.887067,610,1989,1989-04-10,100,4.08,91.6,87.0,190.6
Switzerland/Grossdietwil,47.166089,7.887067,610,1990,1990-04-12,102,4.77,132.5,79.0,267.4
Switzerland/Grossdietwil,47.166089,7.887067,610,1991,1991-04-20,110,2.41,87.1,84.0,188.0
Switzerland/Grossdietwil,47.166089,7.887067,610,1992,1992-04-27,118,2.43,49.2,89.0,224.8
Switzerland/Grossdietwil,47.166089,7.887067,610,1993,1993-04-20,110,2.62,63.5,87.0,147.0
Switzerland/Grossdietwil,47.166089,7.887067,610,1994,1994-04-30,120,4.28,112.2,83.0,279.0
Switzerland/Grossdietwil,47.166089,7.887067,610,1995,1995-04-24,114,2.61,49.7,83.0,444.2
Switzerland/Grossdietwil,47.166089,7.887067,610,1996,1996-04-30,121,1.42,31.6,89.0,174.5
Switzerland/Grossdietwil,47.166089,7.887067,610,1997,1997-04-10,100,3.6,88.5,86.0,173.9
Switzerland/Grossdietwil,47.166089,7.887067,610,1998,1998-05-01,121,3.55,76.2,82.0,206.8
Switzerland/Grossdietwil,47.166089,7.887067,610,1999,1999-05-01,121,2.16,45.9,88.0,373.5
Switzerland/Grossdietwil,47.166089,7.887067,610,2000,2000-04-26,117,2.85,43.9,88.0,280.3
Switzerland/Grossdietwil,47.166089,7.887067,610,2001,2001-04-28,118,3.42,73.4,85.0,413.4
Switzerland/Grossdietwil,47.166089,7.887067,610,2002,2002-04-19,109,3.81,96.0,83.0,194.4
Switzerland/Grossdietwil,47.166089,7.887067,610,2003,2003-04-20,110,1.28,72.5,86.0,164.4
Switzerland/Grossdietwil,47.166089,7.887067,610,2004,2004-04-23,114,1.79,52.0,89.0,307.1
Switzerland/Grossdietwil,47.166089,7.887067,610,2005,2005-04-28,118,0.86,74.4,90.0,242.1
Switzerland/Grossdietwil,47.166089,7.887067,610,2006,2006-05-05,125,0.51,34.8,90.0,309.4
Switzerland/Grossdietwil,47.166089,7.887067,610,2007,2007-04-13,103,4.2,84.6,79.0,306.0
Switzerland/Grossdietwil,47.166089,7.887067,610,2008,2008-04-25,116,3.09,50.7,85.0,236.0
Switzerland/Grossdietwil,47.166089,7.887067,610,2009,2009-04-26,116,0.46,6.3,90.0,274.7
