location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Gryon,46.274817,7.065661,1100,1956,1956-05-10,131,-5.07,0.0,90.0,215.2
Switzerland/Gryon,46.274817,7.065661,1100,1957,1957-04-21,111,-1.41,0.8,90.0,338.3
Switzerland/Gryon,46.274817,7.065661,1100,1958,1958-05-08,128,-3.33,0.0,90.0,577.7
Switzerland/Gryon,46.274817,7.065661,1100,1959,1959-04-20,110,-1.56,0.0,90.0,271.4
Switzerland/Gryon,46.274817,7.065661,1100,1960,1960-05-01,122,-1.5,0.0,90.0,384.1
Switzerland/Gryon,46.274817,7.065661,1100,1961,1961-04-02,92,-1.07,0.0,90.0,332.4
Switzerland/Gryon,46.274817,7.065661,1100,1962,1962-05-14,134,-3.7,0.0,90.0,463.9
Switzerland/Gryon,46.274817,7.065661,1100,1963,1963-05-15,135,-5.59,0.0,90.0,383.5
Switzerland/Gryon,46.274817,7.065661,1100,1964,1964-05-08,129,-2.93,0.0,90.0,255.4
Switzerland/Gryon,46.274817,7.065661,1100,1965,1965-05-15,135,-3.86,0.0,90.0,367.1
Switzerland/Gryon,46.274817,7.065661,1100,1966,1966-05-15,135,-1.94,0.0,90.0,415.2
Switzerland/Gryon,46.274817,7.065661,1100,1967,1967-05-10,130,-2.31,0.2,90.0,378.5
Switzerland/Gryon,46.274817,7.065661,1100,1968,1968-04-20,111,-2.5,0.1,90.0,429.3
Switzerland/Gryon,46.274817,7.065661,1100,1969,1969-05-10,130,-3.08,0.0,90.0,317.9
Switzerland/Gryon,46.274817,7.065661,1100,1970,1970-05-20,140,-3.29,0.0,90.0,666.3
Switzerland/Gryon,46.274817,7.065661,1100,1971,1971-05-01,121,-4.46,0.0,90.0,280.8
Switzerland/Gryon,46.274817,7.065661,1100,1972,1972-05-05,126,-0.89,0.0,90.0,247.6
Switzerland/Gryon,46.274817,7.065661,1100,1973,1973-05-20,140,-3.34,0.0,90.0,242.6
Switzerland/Gryon,46.274817,7.065661,1100,1974,1974-05-10,130,-0.32,2.1,90.0,300.3
Switzerland/Gryon,46.274817,7.065661,1100,1975,1975-05-26,146,-1.38,0.0,90.0,314.3
Switzerland/Gryon,46.274817,7.065661,1100,1976,1976-05-08,129,-2.09,0.1,90.0,200.0
Switzerland/Gryon,46.274817,7.065661,1100,1977,1977-05-15,135,-0.82,0.5,90.0,534.8
Switzerland/Gryon,46.274817,7.065661,1100,1978,1978-05-20,140,-2.01,0.0,90.0,597.9
Switzerland/Gryon,46.274817,7.065661,1100,1979,1979-05-20,140,-2.69,0.0,90.0,540.0
Switzerland/Gryon,46.274817,7.065661,1100,1980,1980-05-30,151,-2.01,0.0,90.0,471.9
Switzerland/Gryon,46.274817,7.065661,1100,1981,1981-05-15,135,-3.28,4.4,90.0,458.2
Switzerland/Gryon,46.274817,7.065661,1100,1982,1982-05-20,140,-1.63,0.0,90.0,363.9
Switzerland/Gryon,46.274817,7.065661,1100,1983,1983-05-10,130,-2.41,0.0,90.0,375.8
Switzerland/Gryon,46.274817,7.065661,1100,1984,1984-05-30,151,-3.64,0.0,90.0,471.4
Switzerland/Gryon,46.274817,7.065661,1100,1985,1985-05-15,135,-4.2,0.0,90.0,417.7
Switzerland/Gryon,46.274817,7.065661,1100,1986,1986-05-15,135,-3.54,0.0,90.0,473.1
Switzerland/Gryon,46.274817,7.065661,1100,1987,1987-05-09,129,-3.91,0.0,90.0,378.1
Switzerland/Gryon,46.274817,7.065661,1100,1988,1988-05-17,138,-1.99,0.4,90.0,617.7
Switzerland/Gryon,46.274817,7.065661,1100,1989,1989-04-28,118,-1.1,4.0,90.0,239.9
Switzerland/Gryon,46.274817,7.065661,1100,1990,1990-05-01,121,-0.94,5.5,90.0,404.4
Switzerland/Gryon,46.274817,7.065661,1100,1991,1991-04-21,111,-1.94,1.0,90.0,286.5
Switzerland/Gryon,46.274817,7.065661,1100,1992,1992-04-10,101,-2.41,0.0,90.0,279.9
Switzerland/Gryon,46.274817,7.065661,1100,1993,1993-04-29,119,-2.46,2.1,90.0,142.6
Switzerland/Gryon,46.274817,7.065661,1100,1994,1994-04-30,120,-0.41,8.9,90.0,305.7
Switzerland/Gryon,46.274817,7.065661,1100,1995,1995-05-06,126,-2.11,0.0,90.0,715.1
Switzerland/Gryon,46.274817,7.065661,1100,1996,1996-05-06,127,-2.71,0.0,90.0,240.7
Switzerland/Gryon,46.274817,7.065661,1100,1997,1997-05-07,127,-0.79,0.2,90.0,246.0
Switzerland/Gryon,46.274817,7.065661,1100,1998,1998-04-27,117,-1.26,2.7,90.0,252.6
Switzerland/Gryon,46.274817,7.065661,1100,1999,1999-05-01,121,-2.56,0.0,90.0,492.5
Switzerland/Gryon,46.274817,7.065661,1100,2000,2000-04-27,118,-1.99,0.3,90.0,306.0
Switzerland/Gryon,46.274817,7.065661,1100,2001,2001-05-02,122,-0.64,3.1,90.0,589.6
Switzerland/Gryon,46.274817,7.065661,1100,2002,2002-04-27,117,-1.59,0.0,90.0,282.6
Switzerland/Gryon,46.274817,7.065661,1100,2003,2003-05-01,121,-2.91,1.1,90.0,263.2
Switzerland/Gryon,46.274817,7.065661,1100,2004,2004-05-18,139,-2.37,0.2,90.0,413.8
Switzerland/Gryon,46.274817,7.065661,1100,2007,2007-04-22,112,-0.24,0.0,90.0,458.1
