location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Grüsch,46.983786,9.64715,650,1970,1970-05-15,135,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1971,1971-04-25,115,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1972,1972-04-18,109,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1973,1973-05-10,130,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1974,1974-04-13,103,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1975,1975-05-07,127,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1976,1976-04-30,121,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1977,1977-04-28,118,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1978,1978-05-05,125,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1979,1979-05-11,131,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1980,1980-05-10,131,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1981,1981-04-15,105,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1982,1982-05-05,125,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1983,1983-04-27,117,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1984,1984-05-09,130,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1985,1985-05-06,126,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1986,1986-05-04,124,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1987,1987-04-30,120,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1988,1988-05-10,131,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1989,1989-04-11,101,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1990,1990-04-25,115,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1991,1991-05-08,128,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1992,1992-04-29,120,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1993,1993-04-26,116,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1994,1994-04-16,106,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1995,1995-04-30,120,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1996,1996-04-29,120,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1997,1997-04-21,111,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1998,1998-04-25,115,,,,
Switzerland/Grüsch,46.983786,9.64715,650,1999,1999-05-01,121,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2000,2000-05-08,129,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2001,2001-04-30,120,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2002,2002-04-20,110,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2003,2003-04-30,120,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2004,2004-04-28,119,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2005,2005-04-27,117,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2006,2006-05-03,123,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2007,2007-04-16,106,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2020,2020-04-13,104,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2021,2021-04-24,114,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2022,2022-04-16,106,,,,
Switzerland/Grüsch,46.983786,9.64715,650,2023,2023-04-21,111,,,,
