location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Gstaad,46.438214,7.269478,1100,2004,2004-05-23,144,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2005,2005-05-20,140,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2006,2006-05-25,145,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2007,2007-04-30,120,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2008,2008-05-25,146,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2009,2009-05-10,130,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2010,2010-05-15,135,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2011,2011-04-30,120,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2012,2012-05-15,136,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2013,2013-05-15,135,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2014,2014-05-10,130,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2015,2015-05-12,132,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2016,2016-05-15,136,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2017,2017-05-18,138,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2018,2018-05-06,126,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2019,2019-05-16,136,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2020,2020-04-27,118,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2021,2021-05-09,129,,,,
Switzerland/Gstaad,46.438214,7.269478,1100,2022,2022-04-26,116,,,,
