location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Gundetswil,47.536489,8.819919,460,1987,1987-04-29,119,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1988,1988-04-26,117,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1989,1989-04-10,100,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1990,1990-04-18,108,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1991,1991-04-16,106,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1992,1992-04-24,115,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1993,1993-04-23,113,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1994,1994-04-13,103,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1995,1995-04-25,115,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1996,1996-04-20,111,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1997,1997-04-06,96,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,1999,1999-04-21,111,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2000,2000-04-24,115,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2001,2001-04-20,110,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2002,2002-04-06,96,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2003,2003-04-18,108,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2004,2004-04-23,114,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2005,2005-04-24,114,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2006,2006-04-25,115,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2007,2007-04-18,108,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2008,2008-04-18,109,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2009,2009-04-14,104,,,,
Switzerland/Gundetswil,47.536489,8.819919,460,2010,2010-04-18,108,,,,
