location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Hallau,47.698183,8.457489,430,1979,1979-05-06,126,,,,
Switzerland/Hallau,47.698183,8.457489,430,1980,1980-05-02,123,,,,
Switzerland/Hallau,47.698183,8.457489,430,1981,1981-04-11,101,,,,
Switzerland/Hallau,47.698183,8.457489,430,1982,1982-05-02,122,,,,
Switzerland/Hallau,47.698183,8.457489,430,1983,1983-04-23,113,,,,
Switzerland/Hallau,47.698183,8.457489,430,1984,1984-04-29,120,,,,
Switzerland/Hallau,47.698183,8.457489,430,1985,1985-04-24,114,,,,
Switzerland/Hallau,47.698183,8.457489,430,1986,1986-05-04,124,,,,
Switzerland/Hallau,47.698183,8.457489,430,1987,1987-04-26,116,,,,
Switzerland/Hallau,47.698183,8.457489,430,1988,1988-04-25,116,,,,
Switzerland/Hallau,47.698183,8.457489,430,1989,1989-04-11,101,,,,
Switzerland/Hallau,47.698183,8.457489,430,1990,1990-04-09,99,,,,
Switzerland/Hallau,47.698183,8.457489,430,1991,1991-04-17,107,,,,
Switzerland/Hallau,47.698183,8.457489,430,1992,1992-05-02,123,,,,
Switzerland/Hallau,47.698183,8.457489,430,1993,1993-04-23,113,,,,
Switzerland/Hallau,47.698183,8.457489,430,1994,1994-04-19,109,,,,
Switzerland/Hallau,47.698183,8.457489,430,1995,1995-04-26,116,,,,
Switzerland/Hallau,47.698183,8.457489,430,1996,1996-04-30,121,,,,
Switzerland/Hallau,47.698183,8.457489,430,1997,1997-04-11,101,,,,
Switzerland/Hallau,47.698183,8.457489,430,1998,1998-04-26,116,,,,
Switzerland/Hallau,47.698183,8.457489,430,1999,1999-04-27,117,,,,
Switzerland/Hallau,47.698183,8.457489,430,2000,2000-04-22,113,,,,
Switzerland/Hallau,47.698183,8.457489,430,2001,2001-05-04,124,,,,
Switzerland/Hallau,47.698183,8.457489,430,2002,2002-04-17,107,,,,
Switzerland/Hallau,47.698183,8.457489,430,2003,2003-04-18,108,,,,
Switzerland/Hallau,47.698183,8.457489,430,2004,2004-04-24,115,,,,
Switzerland/Hallau,47.698183,8.457489,430,2005,2005-04-22,112,,,,
Switzerland/Hallau,47.698183,8.457489,430,2006,2006-04-25,115,,,,
Switzerland/Hallau,47.698183,8.457489,430,2007,2007-04-13,103,,,,
Switzerland/Hallau,47.698183,8.457489,430,2008,2008-04-26,117,,,,
Switzerland/Hallau,47.698183,8.457489,430,2009,2009-04-18,108,,,,
Switzerland/Hallau,47.698183,8.457489,430,2010,2010-04-27,117,,,,
Switzerland/Hallau,47.698183,8.457489,430,2011,2011-04-08,98,,,,
Switzerland/Hallau,47.698183,8.457489,430,2012,2012-04-08,99,,,,
Switzerland/Hallau,47.698183,8.457489,430,2013,2013-04-27,117,,,,
Switzerland/Hallau,47.698183,8.457489,430,2014,2014-04-12,102,,,,
Switzerland/Hallau,47.698183,8.457489,430,2015,2015-04-18,108,,,,
Switzerland/Hallau,47.698183,8.457489,430,2016,2016-04-18,109,,,,
Switzerland/Hallau,47.698183,8.457489,430,2017,2017-04-08,98,,,,
Switzerland/Hallau,47.698183,8.457489,430,2018,2018-04-18,108,,,,
Switzerland/Hallau,47.698183,8.457489,430,2019,2019-04-17,107,,,,
Switzerland/Hallau,47.698183,8.457489,430,2020,2020-04-13,104,,,,
Switzerland/Hallau,47.698183,8.457489,430,2021,2021-04-24,114,,,,
Switzerland/Hallau,47.698183,8.457489,430,2022,2022-04-13,103,,,,
Switzerland/Hallau,47.698183,8.457489,430,2023,2023-04-24,114,,,,
