location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,1992,1992-04-24,115,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,1993,1993-04-22,112,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,1995,1995-04-25,115,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,1996,1996-04-24,115,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,1998,1998-04-24,114,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,1999,1999-04-24,114,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2000,2000-04-24,115,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2001,2001-04-30,120,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2002,2002-04-08,98,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2003,2003-04-19,109,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2004,2004-04-20,111,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2005,2005-04-23,113,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2006,2006-04-25,115,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2007,2007-04-09,99,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2014,2014-04-01,91,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2015,2015-04-15,105,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2016,2016-04-10,101,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2017,2017-04-01,91,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2018,2018-04-14,104,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2019,2019-04-07,97,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2020,2020-04-06,97,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2021,2021-04-04,94,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2022,2022-04-06,96,,,,
Switzerland/Hard b. Weinfelden,47.567569,9.125747,450,2023,2023-04-09,99,,,,
