location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1969,1969-05-03,123,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1970,1970-05-12,132,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1971,1971-04-23,113,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1972,1972-04-25,116,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1973,1973-05-05,125,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1974,1974-04-08,98,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1975,1975-05-06,126,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1976,1976-04-22,113,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1977,1977-04-15,105,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1978,1978-04-30,120,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1992,1992-04-26,117,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1993,1993-04-25,115,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1994,1994-04-19,109,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1995,1995-05-02,122,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1996,1996-04-28,119,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1997,1997-04-12,102,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1998,1998-04-26,116,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,1999,1999-04-27,117,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2000,2000-04-25,116,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2001,2001-04-30,120,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2002,2002-04-20,110,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2003,2003-04-17,107,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2004,2004-04-20,111,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2006,2006-04-25,115,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2007,2007-04-13,103,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2008,2008-04-19,110,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2009,2009-04-15,105,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2010,2010-04-22,112,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2011,2011-04-08,98,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2012,2012-04-06,97,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2013,2013-04-27,117,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2014,2014-04-06,96,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2015,2015-04-18,108,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2016,2016-04-15,106,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2017,2017-04-01,91,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2018,2018-04-19,109,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2019,2019-04-11,101,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2020,2020-04-10,101,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2021,2021-04-17,107,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2022,2022-04-10,100,,,,
Switzerland/Herzogenbuchsee,47.18465,7.702511,450,2023,2023-04-15,105,,,,
