location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Hochdorf,47.166514,8.28935,490,2007,2007-04-04,94,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2008,2008-04-23,114,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2009,2009-04-15,105,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2010,2010-04-17,107,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2011,2011-04-08,98,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2012,2012-04-11,102,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2013,2013-04-24,114,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2014,2014-04-11,101,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2015,2015-04-13,103,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2016,2016-04-12,103,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2017,2017-04-05,95,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2018,2018-04-18,108,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2019,2019-04-10,100,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2020,2020-04-05,96,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2021,2021-04-16,106,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2022,2022-04-06,96,,,,
Switzerland/Hochdorf,47.166514,8.28935,490,2023,2023-04-11,101,,,,
