location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Horgen,47.265269,8.582169,450,1966,1966-04-07,97,,,,
Switzerland/Horgen,47.265269,8.582169,450,1967,1967-04-12,102,,,,
Switzerland/Horgen,47.265269,8.582169,450,1968,1968-04-16,107,,,,
Switzerland/Horgen,47.265269,8.582169,450,1969,1969-04-25,115,,,,
Switzerland/Horgen,47.265269,8.582169,450,1970,1970-04-27,117,,,,
Switzerland/Horgen,47.265269,8.582169,450,1971,1971-04-16,106,,,,
Switzerland/Horgen,47.265269,8.582169,450,1972,1972-04-03,94,,,,
Switzerland/Horgen,47.265269,8.582169,450,1973,1973-04-30,120,,,,
Switzerland/Horgen,47.265269,8.582169,450,1974,1974-03-31,90,,,,
Switzerland/Horgen,47.265269,8.582169,450,1975,1975-04-18,108,,,,
Switzerland/Horgen,47.265269,8.582169,450,1976,1976-04-11,102,,,,
Switzerland/Horgen,47.265269,8.582169,450,1977,1977-03-26,85,,,,
Switzerland/Horgen,47.265269,8.582169,450,1978,1978-04-14,104,,,,
Switzerland/Horgen,47.265269,8.582169,450,1979,1979-04-20,110,,,,
Switzerland/Horgen,47.265269,8.582169,450,1980,1980-04-16,107,,,,
Switzerland/Horgen,47.265269,8.582169,450,1981,1981-04-08,98,,,,
Switzerland/Horgen,47.265269,8.582169,450,1982,1982-04-21,111,,,,
Switzerland/Horgen,47.265269,8.582169,450,1983,1983-04-17,107,,,,
Switzerland/Horgen,47.265269,8.582169,450,1984,1984-04-25,116,,,,
Switzerland/Horgen,47.265269,8.582169,450,1985,1985-04-21,111,,,,
Switzerland/Horgen,47.265269,8.582169,450,1986,1986-05-02,122,,,,
Switzerland/Horgen,47.265269,8.582169,450,1987,1987-04-25,115,,,,
Switzerland/Horgen,47.265269,8.582169,450,1988,1988-04-20,111,,,,
Switzerland/Horgen,47.265269,8.582169,450,1989,1989-03-31,90,,,,
Switzerland/Horgen,47.265269,8.582169,450,1990,1990-03-18,77,,,,
Switzerland/Horgen,47.265269,8.582169,450,1991,1991-04-11,101,,,,
Switzerland/Horgen,47.265269,8.582169,450,1992,1992-04-20,111,,,,
Switzerland/Horgen,47.265269,8.582169,450,1993,1993-04-14,104,,,,
Switzerland/Horgen,47.265269,8.582169,450,1994,1994-03-28,87,,,,
Switzerland/Horgen,47.265269,8.582169,450,1995,1995-04-07,97,,,,
Switzerland/Horgen,47.265269,8.582169,450,1996,1996-04-21,112,,,,
Switzerland/Horgen,47.265269,8.582169,450,1997,1997-04-01,91,,,,
Switzerland/Horgen,47.265269,8.582169,450,1998,1998-04-17,107,,,,
Switzerland/Horgen,47.265269,8.582169,450,2000,2000-04-18,109,,,,
Switzerland/Horgen,47.265269,8.582169,450,2001,2001-04-16,106,,,,
Switzerland/Horgen,47.265269,8.582169,450,2002,2002-04-03,93,,,,
Switzerland/Horgen,47.265269,8.582169,450,2003,2003-04-16,106,,,,
Switzerland/Horgen,47.265269,8.582169,450,2004,2004-04-20,111,,,,
Switzerland/Horgen,47.265269,8.582169,450,2005,2005-04-14,104,,,,
Switzerland/Horgen,47.265269,8.582169,450,2006,2006-04-30,120,,,,
Switzerland/Horgen,47.265269,8.582169,450,2007,2007-04-14,104,,,,
Switzerland/Horgen,47.265269,8.582169,450,2008,2008-04-20,111,,,,
Switzerland/Horgen,47.265269,8.582169,450,2009,2009-04-17,107,,,,
Switzerland/Horgen,47.265269,8.582169,450,2010,2010-04-20,110,,,,
Switzerland/Horgen,47.265269,8.582169,450,2011,2011-04-07,97,,,,
Switzerland/Horgen,47.265269,8.582169,450,2012,2012-04-11,102,,,,
Switzerland/Horgen,47.265269,8.582169,450,2013,2013-05-02,122,,,,
Switzerland/Horgen,47.265269,8.582169,450,2014,2014-04-07,97,,,,
Switzerland/Horgen,47.265269,8.582169,450,2015,2015-04-18,108,,,,
Switzerland/Horgen,47.265269,8.582169,450,2017,2017-04-02,92,,,,
Switzerland/Horgen,47.265269,8.582169,450,2018,2018-04-18,108,,,,
Switzerland/Horgen,47.265269,8.582169,450,2019,2019-04-14,104,,,,
Switzerland/Horgen,47.265269,8.582169,450,2020,2020-04-08,99,,,,
Switzerland/Horgen,47.265269,8.582169,450,2022,2022-04-10,100,,,,
Switzerland/Horgen,47.265269,8.582169,450,2023,2023-04-12,102,,,,
