location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Höfen,46.717125,7.569428,720,1992,1992-04-26,117,,,,
Switzerland/Höfen,46.717125,7.569428,720,1993,1993-04-26,116,,,,
Switzerland/Höfen,46.717125,7.569428,720,1994,1994-04-22,112,,,,
Switzerland/Höfen,46.717125,7.569428,720,1995,1995-05-07,127,,,,
Switzerland/Höfen,46.717125,7.569428,720,1996,1996-04-24,115,,,,
Switzerland/Höfen,46.717125,7.569428,720,1998,1998-04-23,113,,,,
Switzerland/Höfen,46.717125,7.569428,720,1999,1999-04-26,116,,,,
Switzerland/Höfen,46.717125,7.569428,720,2000,2000-04-28,119,,,,
Switzerland/Höfen,46.717125,7.569428,720,2001,2001-04-30,120,,,,
Switzerland/Höfen,46.717125,7.569428,720,2002,2002-04-23,113,,,,
Switzerland/Höfen,46.717125,7.569428,720,2003,2003-04-18,108,,,,
Switzerland/Höfen,46.717125,7.569428,720,2004,2004-04-29,120,,,,
Switzerland/Höfen,46.717125,7.569428,720,2005,2005-04-25,115,,,,
Switzerland/Höfen,46.717125,7.569428,720,2006,2006-04-25,115,,,,
Switzerland/Höfen,46.717125,7.569428,720,2007,2007-04-15,105,,,,
Switzerland/Höfen,46.717125,7.569428,720,2008,2008-04-29,120,,,,
Switzerland/Höfen,46.717125,7.569428,720,2013,2013-05-10,130,,,,
Switzerland/Höfen,46.717125,7.569428,720,2014,2014-04-07,97,,,,
Switzerland/Höfen,46.717125,7.569428,720,2015,2015-04-23,113,,,,
Switzerland/Höfen,46.717125,7.569428,720,2016,2016-04-19,110,,,,
Switzerland/Höfen,46.717125,7.569428,720,2017,2017-04-20,110,,,,
Switzerland/Höfen,46.717125,7.569428,720,2018,2018-04-10,100,,,,
Switzerland/Höfen,46.717125,7.569428,720,2019,2019-04-20,110,,,,
Switzerland/Höfen,46.717125,7.569428,720,2020,2020-04-16,107,,,,
Switzerland/Höfen,46.717125,7.569428,720,2021,2021-04-14,104,,,,
Switzerland/Höfen,46.717125,7.569428,720,2022,2022-04-18,108,,,,
Switzerland/Höfen,46.717125,7.569428,720,2023,2023-04-15,105,,,,
