location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Jegenstorf II,47.049108,7.507072,525,2008,2008-04-26,117,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2010,2010-04-19,109,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2012,2012-04-05,96,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2013,2013-04-23,113,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2014,2014-04-04,94,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2015,2015-04-19,109,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2016,2016-04-13,104,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2017,2017-04-03,93,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2018,2018-04-21,111,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2019,2019-04-12,102,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2020,2020-04-08,99,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2021,2021-04-10,100,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2022,2022-04-12,102,,,,
Switzerland/Jegenstorf II,47.049108,7.507072,525,2023,2023-04-08,98,,,,
