location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Jenaz,46.928553,9.710558,800,1970,1970-05-15,135,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1971,1971-04-26,116,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1972,1972-04-22,113,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1973,1973-05-14,134,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1974,1974-04-13,103,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1975,1975-05-07,127,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1976,1976-05-02,123,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1977,1977-04-28,118,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1978,1978-05-05,125,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1979,1979-05-13,133,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1980,1980-05-12,133,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1981,1981-04-14,104,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1982,1982-05-09,129,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1983,1983-05-01,121,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1984,1984-05-10,131,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1985,1985-05-11,131,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1986,1986-05-09,129,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1988,1988-05-04,125,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1989,1989-04-11,101,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1990,1990-04-28,118,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1991,1991-04-16,106,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1992,1992-05-02,123,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1993,1993-04-26,116,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1994,1994-04-24,114,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1995,1995-05-01,121,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1997,1997-05-01,121,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1998,1998-05-01,121,,,,
Switzerland/Jenaz,46.928553,9.710558,800,1999,1999-05-02,122,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2000,2000-04-26,117,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2001,2001-05-01,121,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2002,2002-04-22,112,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2003,2003-04-28,118,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2004,2004-04-24,115,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2005,2005-04-26,116,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2006,2006-05-02,122,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2007,2007-04-15,105,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2008,2008-04-29,120,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2009,2009-04-21,111,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2010,2010-04-25,115,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2011,2011-04-10,100,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2012,2012-04-26,117,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2013,2013-04-26,116,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2014,2014-04-14,104,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2015,2015-04-22,112,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2016,2016-04-14,105,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2017,2017-04-12,102,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2018,2018-04-20,110,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2019,2019-04-20,110,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2020,2020-04-16,107,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2021,2021-04-25,115,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2022,2022-04-15,105,,,,
Switzerland/Jenaz,46.928553,9.710558,800,2023,2023-04-22,112,,,,
