location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/L'Abergement,46.756178,6.490211,660,1956,1956-05-01,122,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1957,1957-04-03,93,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1958,1958-05-01,121,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1959,1959-04-04,94,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1960,1960-04-08,99,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1961,1961-03-31,90,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1962,1962-04-26,116,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1963,1963-04-29,119,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1964,1964-04-20,111,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1965,1965-04-28,118,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1966,1966-05-14,134,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1967,1967-05-01,121,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1968,1968-04-12,103,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1969,1969-05-01,121,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1970,1970-05-08,128,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1971,1971-04-19,109,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1972,1972-04-14,105,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1973,1973-04-28,118,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1974,1974-04-09,99,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1975,1975-04-28,118,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1976,1976-04-20,111,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1977,1977-04-04,94,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1978,1978-04-30,120,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1979,1979-05-08,128,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1980,1980-04-30,121,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1982,1982-05-04,124,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1983,1983-04-27,117,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1984,1984-05-20,141,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1987,1987-04-26,116,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1988,1988-05-02,123,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1989,1989-04-02,92,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1990,1990-03-17,76,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1991,1991-04-10,100,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1992,1992-04-20,111,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1993,1993-04-25,115,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1994,1994-04-08,98,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1995,1995-04-06,96,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1996,1996-04-26,117,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1997,1997-03-29,88,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,1998,1998-04-13,103,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2000,2000-04-23,114,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2001,2001-04-08,98,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2002,2002-04-13,103,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2003,2003-04-16,106,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2004,2004-04-23,114,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2005,2005-04-23,113,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2006,2006-04-26,116,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2007,2007-04-11,101,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2008,2008-04-26,117,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2009,2009-04-16,106,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2010,2010-04-23,113,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2011,2011-04-07,97,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2012,2012-04-06,97,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2013,2013-04-28,118,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2014,2014-04-06,96,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2015,2015-04-20,110,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2016,2016-04-14,105,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2017,2017-04-03,93,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2018,2018-04-19,109,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2019,2019-04-09,99,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2020,2020-04-08,99,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2021,2021-04-21,111,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2022,2022-04-16,106,,,,
Switzerland/L'Abergement,46.756178,6.490211,660,2023,2023-04-20,110,,,,
