location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/La BrÈvine,46.982014,6.599133,1050,1997,1997-05-25,145,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2015,2015-05-08,128,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2016,2016-05-26,147,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2017,2017-05-17,137,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2018,2018-04-30,120,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2019,2019-05-23,143,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2020,2020-04-24,115,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2021,2021-05-31,151,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2022,2022-05-15,135,,,,
Switzerland/La BrÈvine,46.982014,6.599133,1050,2023,2023-05-06,126,,,,
