location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/La Valsainte,46.648728,7.182475,1050,1956,1956-04-17,108,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1957,1957-05-10,130,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1959,1959-04-15,105,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1960,1960-04-25,116,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1961,1961-04-01,91,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1962,1962-04-10,100,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1963,1963-05-01,121,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1964,1964-04-22,113,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1965,1965-05-08,128,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1966,1966-05-01,121,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1968,1968-04-17,108,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1969,1969-05-15,135,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1970,1970-05-29,149,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1971,1971-05-05,125,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1972,1972-05-12,133,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1973,1973-05-25,145,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1996,1996-05-20,141,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1998,1998-05-15,135,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,1999,1999-05-08,128,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2000,2000-05-06,127,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2001,2001-05-17,137,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2002,2002-05-11,131,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2003,2003-04-30,120,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2004,2004-05-08,129,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2005,2005-05-03,123,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2006,2006-05-27,147,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2007,2007-04-23,113,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2008,2008-05-08,129,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2009,2009-05-05,125,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2010,2010-05-03,123,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2011,2011-04-18,108,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2012,2012-04-28,119,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2013,2013-05-08,128,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2014,2014-04-25,115,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2015,2015-05-03,123,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2020,2020-04-20,111,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2021,2021-05-18,138,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2022,2022-04-29,119,,,,
Switzerland/La Valsainte,46.648728,7.182475,1050,2023,2023-05-04,124,,,,
