location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Lanterswil,47.514847,9.098194,570,1992,1992-04-24,115,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,1993,1993-04-21,111,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,1994,1994-03-31,90,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,1995,1995-04-14,104,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,1996,1996-04-26,117,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,1997,1997-04-12,102,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,1999,1999-04-26,116,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2000,2000-04-22,113,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2001,2001-04-16,106,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2002,2002-04-08,98,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2003,2003-04-18,108,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2004,2004-04-23,114,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2005,2005-04-20,110,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2006,2006-04-28,118,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2007,2007-04-10,100,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2008,2008-04-22,113,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2009,2009-04-14,104,,,,
Switzerland/Lanterswil,47.514847,9.098194,570,2010,2010-04-20,110,,,,
