location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Laufenburg,47.561031,8.063136,330,1970,1970-05-05,125,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1971,1971-04-20,110,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1972,1972-04-19,110,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1973,1973-05-01,121,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1974,1974-04-08,98,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1975,1975-04-27,117,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1976,1976-04-18,109,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1977,1977-04-05,95,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1978,1978-04-27,117,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1979,1979-04-23,113,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1980,1980-04-27,118,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1981,1981-04-12,102,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1982,1982-04-24,114,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1983,1983-04-21,111,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1984,1984-04-27,118,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1985,1985-04-21,111,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1986,1986-05-06,126,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1987,1987-04-27,117,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1988,1988-04-22,113,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1989,1989-04-04,94,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1990,1990-03-24,83,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1991,1991-04-13,103,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1992,1992-04-28,119,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1993,1993-04-19,109,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1994,1994-03-31,90,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1995,1995-04-22,112,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1996,1996-04-25,116,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1997,1997-04-03,93,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1998,1998-04-22,112,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,1999,1999-04-17,107,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2000,2000-04-20,111,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2001,2001-05-02,122,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2002,2002-04-15,105,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2003,2003-04-16,106,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2004,2004-04-19,110,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2005,2005-04-22,112,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2006,2006-04-30,120,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2007,2007-04-12,102,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2008,2008-04-20,111,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2009,2009-04-16,106,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2010,2010-04-21,111,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2011,2011-04-07,97,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2012,2012-04-06,97,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2013,2013-04-26,116,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2014,2014-04-04,94,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2015,2015-04-21,111,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2016,2016-04-14,105,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2017,2017-04-07,97,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2018,2018-04-17,107,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2019,2019-04-06,96,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2020,2020-04-06,97,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2021,2021-04-07,97,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2022,2022-03-29,88,,,,
Switzerland/Laufenburg,47.561031,8.063136,330,2023,2023-04-06,96,,,,
