location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Le Locle,47.047992,6.754314,1020,1956,1956-05-15,136,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1957,1957-05-01,121,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1986,1986-05-16,136,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1987,1987-05-24,144,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1988,1988-05-19,140,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1989,1989-05-20,140,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1990,1990-05-17,137,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1991,1991-05-29,149,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1992,1992-05-08,129,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1993,1993-05-13,133,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1994,1994-05-14,134,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1995,1995-05-10,130,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1996,1996-05-16,137,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1997,1997-05-15,135,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,1999,1999-05-22,142,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2000,2000-05-03,124,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2001,2001-05-03,123,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2002,2002-04-25,115,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2003,2003-05-18,138,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2004,2004-05-23,144,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2005,2005-05-09,129,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2007,2007-04-30,120,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2008,2008-05-12,133,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2009,2009-05-08,128,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2010,2010-05-12,132,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2011,2011-04-25,115,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2012,2012-05-02,123,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2013,2013-05-29,149,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2014,2014-04-26,116,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2015,2015-05-05,125,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2016,2016-05-17,138,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2017,2017-05-15,135,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2018,2018-04-30,120,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2019,2019-05-24,144,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2020,2020-04-29,120,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2021,2021-05-19,139,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2022,2022-05-10,130,,,,
Switzerland/Le Locle,47.047992,6.754314,1020,2023,2023-05-10,130,,,,
